,FSRQ,DWJZ,LJJZ,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,NAVTYPE,SDATE,ACTUALSYI,DTYPE,FHSP
0,2025-08-21,3.1101,3.1301,0.60,开放申购,开放赎回,,,1,,,,
1,2025-08-20,3.0916,3.1116,0.90,开放申购,开放赎回,,,1,,,,
2,2025-08-19,3.0641,3.0841,-0.01,开放申购,开放赎回,,,1,,,,
3,2025-08-18,3.0644,3.0844,1.60,开放申购,开放赎回,,,1,,,,
4,2025-08-15,3.0160,3.0360,1.56,开放申购,开放赎回,,,1,,,,
5,2025-08-14,2.9697,2.9897,-1.66,开放申购,开放赎回,,,1,,,,
6,2025-08-13,3.0198,3.0398,1.15,开放申购,开放赎回,,,1,,,,
7,2025-08-12,2.9855,3.0055,-0.16,开放申购,开放赎回,,,1,,,,
8,2025-08-11,2.9904,3.0104,0.38,开放申购,开放赎回,,,1,,,,
9,2025-08-08,2.9791,2.9991,0.56,开放申购,开放赎回,,,1,,,,
10,2025-08-07,2.9625,2.9825,-0.60,开放申购,开放赎回,,,1,,,,
11,2025-08-06,2.9805,3.0005,0.70,开放申购,开放赎回,,,1,,,,
12,2025-08-05,2.9598,2.9798,0.63,开放申购,开放赎回,,,1,,,,
13,2025-08-04,2.9412,2.9612,0.60,开放申购,开放赎回,,,1,,,,
14,2025-08-01,2.9236,2.9436,1.27,开放申购,开放赎回,,,1,,,,
15,2025-07-31,2.8868,2.9068,-2.49,开放申购,开放赎回,,,1,,,,
16,2025-07-30,2.9606,2.9806,-1.05,开放申购,开放赎回,,,1,,,,
17,2025-07-29,2.9919,3.0119,1.16,开放申购,开放赎回,,,1,,,,
18,2025-07-28,2.9577,2.9777,-0.97,开放申购,开放赎回,,,1,,,,
19,2025-07-25,2.9868,3.0068,-0.13,开放申购,开放赎回,,,1,,,,
20,2025-07-24,2.9907,3.0107,0.96,开放申购,开放赎回,,,1,,,,
21,2025-07-23,2.9624,2.9824,-0.57,开放申购,开放赎回,,,1,,,,
22,2025-07-22,2.9793,2.9993,0.52,开放申购,开放赎回,,,1,,,,
23,2025-07-21,2.9640,2.9840,1.50,开放申购,开放赎回,,,1,,,,
24,2025-07-18,2.9202,2.9402,0.37,开放申购,开放赎回,,,1,,,,
25,2025-07-17,2.9093,2.9293,-0.25,开放申购,开放赎回,,,1,,,,
26,2025-07-16,2.9167,2.9367,0.46,开放申购,开放赎回,,,1,,,,
27,2025-07-15,2.9033,2.9233,-0.30,开放申购,开放赎回,,,1,,,,
28,2025-07-14,2.9120,2.9320,0.31,开放申购,开放赎回,,,1,,,,
29,2025-07-11,2.9031,2.9231,0.37,开放申购,开放赎回,,,1,,,,
30,2025-07-10,2.8923,2.9123,0.75,开放申购,开放赎回,,,1,,,,
31,2025-07-09,2.8709,2.8909,-0.66,开放申购,开放赎回,,,1,,,,
32,2025-07-08,2.8900,2.9100,0.56,开放申购,开放赎回,,,1,,,,
33,2025-07-07,2.8740,2.8940,1.50,开放申购,开放赎回,,,1,,,,
34,2025-07-04,2.8314,2.8514,-1.29,开放申购,开放赎回,,,1,,,,
35,2025-07-03,2.8683,2.8883,-0.79,开放申购,开放赎回,,,1,,,,
36,2025-07-02,2.8910,2.9110,-0.30,开放申购,开放赎回,,,1,,,,
37,2025-07-01,2.8996,2.9196,0.54,开放申购,开放赎回,,,1,,,,
38,2025-06-30,2.8839,2.9039,0.81,开放申购,开放赎回,,,1,,,,
39,2025-06-27,2.8607,2.8807,0.67,开放申购,开放赎回,,,1,,,,
40,2025-06-26,2.8417,2.8617,-0.41,开放申购,开放赎回,,,1,,,,
