,FSRQ,DWJZ,LJJZ,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,NAVTYPE,SDATE,ACTUALSYI,DTYPE,FHSP
0,2025-08-21,1.4436,1.8436,0.47,场内买入,场内卖出,,,1,,,,
1,2025-08-20,1.4369,1.8369,0.59,场内买入,场内卖出,,,1,,,,
2,2025-08-19,1.4285,1.8285,0.09,场内买入,场内卖出,,,1,,,,
3,2025-08-18,1.4272,1.8272,-0.10,场内买入,场内卖出,,,1,,,,
4,2025-08-15,1.4286,1.8286,-0.32,场内买入,场内卖出,,,1,,,,
5,2025-08-14,1.4332,1.8332,-0.31,场内买入,场内卖出,,,1,,,,
6,2025-08-13,1.4376,1.8376,-0.46,场内买入,场内卖出,,,1,,,,
7,2025-08-12,1.4442,1.8442,0.21,场内买入,场内卖出,,,1,,,,
8,2025-08-11,1.4412,1.8412,-0.68,场内买入,场内卖出,,,1,,,,
9,2025-08-08,1.4510,1.8510,0.17,场内买入,场内卖出,,,1,,,,
10,2025-08-07,1.4485,1.8485,0.28,场内买入,场内卖出,,,1,,,,
11,2025-08-06,1.4444,1.8444,0.12,场内买入,场内卖出,,,1,,,,
12,2025-08-05,1.4426,1.8426,0.94,场内买入,场内卖出,,,1,,,,
13,2025-08-04,1.4291,1.8291,0.26,场内买入,场内卖出,,,1,,,,
14,2025-08-01,1.4254,1.8254,-0.17,场内买入,场内卖出,,,1,,,,
15,2025-07-31,1.4278,1.8278,-1.49,场内买入,场内卖出,,,1,,,,
16,2025-07-30,1.4494,1.8494,0.60,场内买入,场内卖出,,,1,,,,
17,2025-07-29,1.4408,1.8408,-0.46,场内买入,场内卖出,,,1,,,,
18,2025-07-28,1.4474,1.8474,-0.44,场内买入,场内卖出,,,1,,,,
19,2025-07-25,1.4538,1.8538,-0.68,场内买入,场内卖出,,,1,,,,
20,2025-07-24,1.4638,1.8638,-0.41,场内买入,场内卖出,,,1,,,,
21,2025-07-23,1.4698,1.8698,-0.35,场内买入,场内卖出,,,1,,,,
22,2025-07-22,1.4749,1.8749,0.94,场内买入,场内卖出,,,1,,,,
23,2025-07-21,1.4612,1.8612,0.51,场内买入,场内卖出,,,1,,,,
24,2025-07-18,1.4538,1.8538,0.50,场内买入,场内卖出,,,1,,,,
25,2025-07-17,1.4466,1.8466,-0.01,场内买入,场内卖出,,,1,,,,
26,2025-07-16,1.4468,1.8468,-0.26,场内买入,场内卖出,,,1,,,,
27,2025-07-15,1.4506,1.8506,-0.65,场内买入,场内卖出,0.045,0,1,,,,每份派现金0.0450元
28,2025-07-14,1.5054,1.8604,0.66,场内买入,场内卖出,,,1,,,,
