,FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
0,2025-08-21,1.7082,3.0787,,,1,0.20,限制大额申购,开放赎回,,,,
1,2025-08-20,1.7048,3.0753,,,1,0.04,限制大额申购,开放赎回,,,,
2,2025-08-19,1.7041,3.0746,,,1,0.06,限制大额申购,开放赎回,,,,
3,2025-08-18,1.7030,3.0735,,,1,-0.28,限制大额申购,开放赎回,,,,
4,2025-08-15,1.7078,3.0783,,,1,0.02,限制大额申购,开放赎回,,,,
5,2025-08-14,1.7075,3.0780,,,1,-0.11,限制大额申购,开放赎回,,,,
6,2025-08-13,1.7093,3.0798,,,1,0.02,限制大额申购,开放赎回,,,,
7,2025-08-12,1.7089,3.0794,,,1,-0.13,限制大额申购,开放赎回,,,,
8,2025-08-11,1.7111,3.0816,,,1,-0.11,限制大额申购,开放赎回,,,,
9,2025-08-08,1.7129,3.0834,,,1,0.02,限制大额申购,开放赎回,,,,
10,2025-08-07,1.7125,3.0830,,,1,0.02,限制大额申购,开放赎回,,,,
11,2025-08-06,1.7122,3.0827,,,1,0.04,限制大额申购,开放赎回,,,,
12,2025-08-05,1.7115,3.0820,,,1,0.09,限制大额申购,开放赎回,,,,
13,2025-08-04,1.7100,3.0805,,,1,0.04,限制大额申购,开放赎回,,,,
14,2025-08-01,1.7093,3.0798,,,1,0.02,限制大额申购,开放赎回,,,,
15,2025-07-31,1.7089,3.0794,,,1,-0.05,限制大额申购,开放赎回,,,,
16,2025-07-30,1.7097,3.0802,,,1,0.19,限制大额申购,开放赎回,,,,
17,2025-07-29,1.7065,3.0770,,,1,-0.19,限制大额申购,开放赎回,,,,
18,2025-07-28,1.7097,3.0802,,,1,-0.01,限制大额申购,开放赎回,,,,
19,2025-07-25,1.7099,3.0804,,,1,-0.06,限制大额申购,开放赎回,,,,
20,2025-07-24,1.7109,3.0814,,,1,-0.17,限制大额申购,开放赎回,,,,
21,2025-07-23,1.7138,3.0843,,,1,-0.08,限制大额申购,开放赎回,,,,
22,2025-07-22,1.7151,3.0856,,,1,-0.02,限制大额申购,开放赎回,,,,
23,2025-07-21,1.7154,3.0859,,,1,-0.01,限制大额申购,开放赎回,,,,
24,2025-07-18,1.7156,3.0861,,,1,0.03,限制大额申购,开放赎回,,,,
25,2025-07-17,1.7151,3.0856,,,1,0.04,限制大额申购,开放赎回,,,,
26,2025-07-16,1.7144,3.0849,,,1,0.02,限制大额申购,开放赎回,,,,
27,2025-07-15,1.7140,3.0845,,,1,0.05,限制大额申购,开放赎回,,,,
28,2025-07-14,1.7131,3.0836,,,1,-0.05,限制大额申购,开放赎回,,,,
29,2025-07-11,1.7140,3.0845,,,1,-0.03,限制大额申购,开放赎回,,,,
30,2025-07-10,1.7145,3.0850,,,1,-0.03,限制大额申购,开放赎回,,,,
31,2025-07-09,1.7151,3.0856,,,1,-0.02,限制大额申购,开放赎回,,,,
32,2025-07-08,1.7155,3.0860,,,1,0.00,限制大额申购,开放赎回,,,,
33,2025-07-07,1.7155,3.0860,,,1,0.02,限制大额申购,开放赎回,,,,
34,2025-07-04,1.7152,3.0857,,,1,0.09,限制大额申购,开放赎回,,,,
35,2025-07-03,1.7137,3.0842,,,1,0.05,限制大额申购,开放赎回,,,,
36,2025-07-02,1.7129,3.0834,,,1,0.10,限制大额申购,开放赎回,,,,
37,2025-07-01,1.7112,3.0817,,,1,0.15,限制大额申购,开放赎回,,,,
38,2025-06-30,1.7086,3.0791,,,1,0.02,限制大额申购,开放赎回,,,,
39,2025-06-27,1.7083,3.0788,,,1,0.01,限制大额申购,开放赎回,,,,
40,2025-06-26,1.7081,3.0786,,,1,0.06,限制大额申购,开放赎回,,,,
41,2025-06-25,1.7071,3.0776,,,1,0.06,限制大额申购,开放赎回,,,,
42,2025-06-24,1.7060,3.0765,,,1,0.01,限制大额申购,开放赎回,,,,
43,2025-06-23,1.7059,3.0764,,,1,0.03,限制大额申购,开放赎回,,,,
44,2025-06-20,1.7054,3.0759,,,1,0.04,限制大额申购,开放赎回,,,,
45,2025-06-19,1.7047,3.0752,,,1,-0.01,限制大额申购,开放赎回,,,,
46,2025-06-18,1.7049,3.0754,,,1,0.04,限制大额申购,开放赎回,,,,
47,2025-06-17,1.7043,3.0748,,,1,0.11,限制大额申购,开放赎回,,,,
48,2025-06-16,1.7025,3.0730,,,1,0.02,限制大额申购,开放赎回,,,,
49,2025-06-13,1.7021,3.0726,,,1,-0.01,限制大额申购,开放赎回,,,,
50,2025-06-12,1.7023,3.0728,,,1,-0.02,限制大额申购,开放赎回,,,,
51,2025-06-11,1.7027,3.0732,,,1,0.11,限制大额申购,开放赎回,,,,
52,2025-06-10,1.7009,3.0714,,,1,-0.02,限制大额申购,开放赎回,,,,
53,2025-06-09,1.7012,3.0717,,,1,0.05,限制大额申购,开放赎回,,,,
54,2025-06-06,1.7003,3.0708,,,1,0.12,限制大额申购,开放赎回,,,,
55,2025-06-05,1.6982,3.0687,,,1,0.01,限制大额申购,开放赎回,,,,
