,FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
0,2025-08-21,2.5676,2.5676,,,1,0.76,开放申购,开放赎回,,,,
1,2025-08-20,2.5483,2.5483,,,1,0.45,开放申购,开放赎回,,,,
2,2025-08-19,2.5369,2.5369,,,1,-0.37,开放申购,开放赎回,,,,
3,2025-08-18,2.5464,2.5464,,,1,-0.34,开放申购,开放赎回,,,,
4,2025-08-15,2.5552,2.5552,,,1,0.22,开放申购,开放赎回,,,,
5,2025-08-14,2.5497,2.5497,,,1,0.19,开放申购,开放赎回,,,,
6,2025-08-13,2.5448,2.5448,,,1,-0.44,开放申购,开放赎回,,,,
7,2025-08-12,2.5560,2.5560,,,1,0.41,开放申购,开放赎回,,,,
8,2025-08-11,2.5455,2.5455,,,1,-0.13,开放申购,开放赎回,,,,
9,2025-08-08,2.5488,2.5488,,,1,0.36,开放申购,开放赎回,,,,
10,2025-08-07,2.5397,2.5397,,,1,0.37,开放申购,开放赎回,,,,
11,2025-08-06,2.5304,2.5304,,,1,-0.01,开放申购,开放赎回,,,,
12,2025-08-05,2.5306,2.5306,,,1,0.50,开放申购,开放赎回,,,,
13,2025-08-04,2.5180,2.5180,,,1,-0.01,开放申购,开放赎回,,,,
14,2025-08-01,2.5182,2.5182,,,1,0.23,开放申购,开放赎回,,,,
15,2025-07-31,2.5125,2.5125,,,1,-1.81,开放申购,开放赎回,,,,
16,2025-07-30,2.5588,2.5588,,,1,0.59,开放申购,开放赎回,,,,
17,2025-07-29,2.5437,2.5437,,,1,-0.49,开放申购,开放赎回,,,,
18,2025-07-28,2.5561,2.5561,,,1,-0.19,开放申购,开放赎回,,,,
19,2025-07-25,2.5609,2.5609,,,1,0.09,开放申购,开放赎回,,,,
20,2025-07-24,2.5585,2.5585,,,1,0.11,开放申购,开放赎回,,,,
21,2025-07-23,2.5557,2.5557,,,1,-0.67,开放申购,开放赎回,,,,
22,2025-07-22,2.5729,2.5729,,,1,1.59,开放申购,开放赎回,,,,
23,2025-07-21,2.5327,2.5327,,,1,1.29,开放申购,开放赎回,,,,
24,2025-07-18,2.5005,2.5005,,,1,0.62,开放申购,开放赎回,,,,
25,2025-07-17,2.4852,2.4852,,,1,0.00,开放申购,开放赎回,,,,
26,2025-07-16,2.4851,2.4851,,,1,-0.26,开放申购,开放赎回,,,,
27,2025-07-15,2.4915,2.4915,,,1,-0.50,开放申购,开放赎回,,,,
28,2025-07-14,2.5041,2.5041,,,1,0.35,开放申购,开放赎回,,,,
29,2025-07-11,2.4954,2.4954,,,1,-0.33,开放申购,开放赎回,,,,
30,2025-07-10,2.5037,2.5037,,,1,1.13,开放申购,开放赎回,,,,
31,2025-07-09,2.4757,2.4757,,,1,0.06,开放申购,开放赎回,,,,
32,2025-07-08,2.4743,2.4743,,,1,0.23,开放申购,开放赎回,,,,
33,2025-07-07,2.4686,2.4686,,,1,0.00,开放申购,开放赎回,,,,
34,2025-07-04,2.4686,2.4686,,,1,-0.02,开放申购,开放赎回,,,,
35,2025-07-03,2.4690,2.4690,,,1,0.21,开放申购,开放赎回,,,,
36,2025-07-02,2.4638,2.4638,,,1,0.70,开放申购,开放赎回,,,,
37,2025-07-01,2.4467,2.4467,,,1,0.53,开放申购,开放赎回,,,,
