,FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
0,2025-08-21,3.4170,3.4870,,,1,0.16,限制大额申购,开放赎回,,,,
1,2025-08-20,3.4116,3.4816,,,1,1.50,限制大额申购,开放赎回,,,,
2,2025-08-19,3.3613,3.4313,,,1,0.17,限制大额申购,开放赎回,,,,
3,2025-08-18,3.3555,3.4255,,,1,0.85,限制大额申购,开放赎回,,,,
4,2025-08-15,3.3272,3.3972,,,1,1.81,限制大额申购,开放赎回,,,,
5,2025-08-14,3.2681,3.3381,,,1,-1.22,限制大额申购,开放赎回,,,,
6,2025-08-13,3.3084,3.3784,,,1,1.00,限制大额申购,开放赎回,,,,
7,2025-08-12,3.2756,3.3456,,,1,0.09,限制大额申购,开放赎回,,,,
8,2025-08-11,3.2727,3.3427,,,1,1.07,限制大额申购,开放赎回,,,,
9,2025-08-08,3.2382,3.3082,,,1,0.76,限制大额申购,开放赎回,,,,
10,2025-08-07,3.2138,3.2838,,,1,-0.22,限制大额申购,开放赎回,,,,
11,2025-08-06,3.2209,3.2909,,,1,0.85,限制大额申购,开放赎回,,,,
12,2025-08-05,3.1937,3.2637,,,1,0.98,限制大额申购,开放赎回,,,,
13,2025-08-04,3.1627,3.2327,,,1,0.99,限制大额申购,开放赎回,,,,
14,2025-08-01,3.1316,3.2016,,,1,0.39,限制大额申购,开放赎回,,,,
15,2025-07-31,3.1193,3.1893,,,1,-1.22,限制大额申购,开放赎回,,,,
16,2025-07-30,3.1578,3.2278,,,1,-0.43,限制大额申购,开放赎回,,,,
17,2025-07-29,3.1715,3.2415,,,1,0.36,限制大额申购,开放赎回,,,,
18,2025-07-28,3.1601,3.2301,,,1,0.58,限制大额申购,开放赎回,,,,
19,2025-07-25,3.1418,3.2118,,,1,0.28,限制大额申购,开放赎回,,,,
20,2025-07-24,3.1331,3.2031,,,1,0.87,限制大额申购,开放赎回,,,,
21,2025-07-23,3.1062,3.1762,,,1,-0.42,限制大额申购,开放赎回,,,,
22,2025-07-22,3.1194,3.1894,,,1,0.85,限制大额申购,开放赎回,,,,
23,2025-07-21,3.0932,3.1632,,,1,1.52,限制大额申购,开放赎回,,,,
24,2025-07-18,3.0470,3.1170,,,1,-0.21,限制大额申购,开放赎回,,,,
25,2025-07-17,3.0534,3.1234,,,1,0.36,限制大额申购,开放赎回,,,,
26,2025-07-16,3.0424,3.1124,,,1,0.38,限制大额申购,开放赎回,,,,
27,2025-07-15,3.0309,3.1009,,,1,0.13,限制大额申购,开放赎回,,,,
28,2025-07-14,3.0269,3.0969,,,1,1.30,限制大额申购,开放赎回,,,,
29,2025-07-11,2.9882,3.0582,,,1,0.37,限制大额申购,开放赎回,,,,
30,2025-07-10,2.9772,3.0472,,,1,0.29,限制大额申购,开放赎回,,,,
31,2025-07-09,2.9687,3.0387,,,1,-0.32,限制大额申购,开放赎回,,,,
32,2025-07-08,2.9781,3.0481,,,1,1.38,限制大额申购,开放赎回,,,,
33,2025-07-07,2.9377,3.0077,,,1,0.42,限制大额申购,开放赎回,,,,
34,2025-07-04,2.9253,2.9953,,,1,-0.73,限制大额申购,开放赎回,,,,
35,2025-07-03,2.9468,3.0168,,,1,1.20,限制大额申购,开放赎回,,,,
36,2025-07-02,2.9118,2.9818,,,1,0.01,限制大额申购,开放赎回,,,,
37,2025-07-01,2.9116,2.9816,,,1,1.02,限制大额申购,开放赎回,,,,
38,2025-06-30,2.8821,2.9521,,,1,1.19,限制大额申购,开放赎回,,,,
39,2025-06-27,2.8482,2.9182,,,1,0.80,限制大额申购,开放赎回,,,,
40,2025-06-26,2.8255,2.8955,,,1,-0.57,限制大额申购,开放赎回,,,,
41,2025-06-25,2.8418,2.9118,,,1,0.80,限制大额申购,开放赎回,,,,
42,2025-06-24,2.8193,2.8893,,,1,2.24,限制大额申购,开放赎回,,,,
43,2025-06-23,2.7575,2.8275,,,1,0.70,限制大额申购,开放赎回,,,,
44,2025-06-20,2.7384,2.8084,,,1,-0.46,限制大额申购,开放赎回,,,,
45,2025-06-19,2.7511,2.8211,,,1,-1.19,限制大额申购,开放赎回,,,,
46,2025-06-18,2.7843,2.8543,,,1,-0.02,限制大额申购,开放赎回,,,,
47,2025-06-17,2.7849,2.8549,,,1,-0.15,限制大额申购,开放赎回,,,,
48,2025-06-16,2.7891,2.8591,,,1,0.18,限制大额申购,开放赎回,,,,
49,2025-06-13,2.7841,2.8541,,,1,-1.18,限制大额申购,开放赎回,,,,
50,2025-06-12,2.8173,2.8873,,,1,0.45,限制大额申购,开放赎回,,,,
51,2025-06-11,2.8047,2.8747,,,1,1.02,限制大额申购,开放赎回,,,,
52,2025-06-10,2.7763,2.8463,,,1,-0.55,限制大额申购,开放赎回,,,,
53,2025-06-09,2.7916,2.8616,,,1,0.69,限制大额申购,开放赎回,,,,
54,2025-06-06,2.7725,2.8425,,,1,0.27,限制大额申购,开放赎回,,,,
55,2025-06-05,2.7650,2.8350,,,1,0.51,限制大额申购,开放赎回,,,,
56,2025-06-04,2.7510,2.8210,,,1,0.95,限制大额申购,开放赎回,,,,
57,2025-06-03,2.7251,2.7951,,,1,0.75,限制大额申购,开放赎回,,,,
58,2025-05-30,2.7048,2.7748,,,1,-1.04,限制大额申购,开放赎回,,,,
59,2025-05-29,2.7333,2.8033,,,1,1.11,限制大额申购,开放赎回,,,,
60,2025-05-28,2.7034,2.7734,,,1,0.08,限制大额申购,开放赎回,,,,
61,2025-05-27,2.7013,2.7713,,,1,-0.01,限制大额申购,开放赎回,,,,
62,2025-05-26,2.7017,2.7717,,,1,0.24,限制大额申购,开放赎回,,,,
63,2025-05-23,2.6953,2.7653,,,1,-0.55,限制大额申购,开放赎回,,,,
64,2025-05-22,2.7103,2.7803,,,1,-0.86,限制大额申购,开放赎回,,,,
65,2025-05-21,2.7337,2.8037,,,1,0.04,限制大额申购,开放赎回,,,,
66,2025-05-20,2.7325,2.8025,,,1,0.84,限制大额申购,开放赎回,,,,
67,2025-05-19,2.7097,2.7797,,,1,0.35,限制大额申购,开放赎回,,,,
68,2025-05-16,2.7002,2.7702,,,1,0.89,限制大额申购,开放赎回,,,,
69,2025-05-15,2.6765,2.7465,,,1,-0.98,限制大额申购,开放赎回,,,,
70,2025-05-14,2.7031,2.7731,,,1,-0.11,限制大额申购,开放赎回,,,,
71,2025-05-13,2.7062,2.7762,,,1,0.09,限制大额申购,开放赎回,,,,
72,2025-05-12,2.7037,2.7737,,,1,1.20,限制大额申购,开放赎回,,,,
73,2025-05-09,2.6716,2.7416,,,1,-0.59,限制大额申购,开放赎回,,,,
74,2025-05-08,2.6874,2.7574,,,1,0.62,限制大额申购,开放赎回,,,,
75,2025-05-07,2.6708,2.7408,,,1,0.08,限制大额申购,开放赎回,,,,
76,2025-05-06,2.6686,2.7386,,,1,2.02,限制大额申购,开放赎回,,,,
77,2025-04-30,2.6158,2.6858,,,1,0.29,限制大额申购,开放赎回,,,,
78,2025-04-29,2.6083,2.6783,,,1,0.31,限制大额申购,开放赎回,,,,
79,2025-04-28,2.6002,2.6702,,,1,-1.49,限制大额申购,开放赎回,,,,
