,FSRQ,DWJZ,LJJZ,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,NAVTYPE,SDATE,ACTUALSYI,DTYPE,FHSP
0,2025-08-21,3.1690,3.1690,-0.35,开放申购,开放赎回,,,1,,,,
1,2025-08-20,3.1802,3.1802,1.18,开放申购,开放赎回,,,1,,,,
2,2025-08-19,3.1431,3.1431,0.80,开放申购,开放赎回,,,1,,,,
3,2025-08-18,3.1181,3.1181,1.74,开放申购,开放赎回,,,1,,,,
4,2025-08-15,3.0647,3.0647,1.59,开放申购,开放赎回,,,1,,,,
5,2025-08-14,3.0167,3.0167,-2.37,开放申购,开放赎回,,,1,,,,
6,2025-08-13,3.0900,3.0900,0.46,开放申购,开放赎回,,,1,,,,
7,2025-08-12,3.0757,3.0757,-0.11,开放申购,开放赎回,,,1,,,,
8,2025-08-11,3.0790,3.0790,1.40,开放申购,开放赎回,,,1,,,,
9,2025-08-08,3.0365,3.0365,-0.73,开放申购,开放赎回,,,1,,,,
10,2025-08-07,3.0588,3.0588,0.11,开放申购,开放赎回,,,1,,,,
11,2025-08-06,3.0553,3.0553,1.42,开放申购,开放赎回,,,1,,,,
12,2025-08-05,3.0124,3.0124,1.09,开放申购,开放赎回,,,1,,,,
13,2025-08-04,2.9798,2.9798,1.19,开放申购,开放赎回,,,1,,,,
14,2025-08-01,2.9449,2.9449,0.92,开放申购,开放赎回,,,1,,,,
15,2025-07-31,2.9181,2.9181,-0.82,开放申购,开放赎回,,,1,,,,
16,2025-07-30,2.9422,2.9422,-0.44,开放申购,开放赎回,,,1,,,,
17,2025-07-29,2.9551,2.9551,0.40,开放申购,开放赎回,,,1,,,,
18,2025-07-28,2.9434,2.9434,1.29,开放申购,开放赎回,,,1,,,,
19,2025-07-25,2.9059,2.9059,1.02,开放申购,开放赎回,,,1,,,,
20,2025-07-24,2.8765,2.8765,0.66,开放申购,开放赎回,,,1,,,,
21,2025-07-23,2.8576,2.8576,-0.31,开放申购,开放赎回,,,1,,,,
22,2025-07-22,2.8665,2.8665,-0.75,开放申购,开放赎回,,,1,,,,
23,2025-07-21,2.8882,2.8882,0.77,开放申购,开放赎回,,,1,,,,
24,2025-07-18,2.8661,2.8661,-0.18,开放申购,开放赎回,,,1,,,,
25,2025-07-17,2.8714,2.8714,1.40,开放申购,开放赎回,,,1,,,,
26,2025-07-16,2.8318,2.8318,0.44,开放申购,开放赎回,,,1,,,,
27,2025-07-15,2.8195,2.8195,-0.24,开放申购,开放赎回,,,1,,,,
28,2025-07-14,2.8263,2.8263,0.73,开放申购,开放赎回,,,1,,,,
29,2025-07-11,2.8057,2.8057,0.30,开放申购,开放赎回,,,1,,,,
30,2025-07-10,2.7974,2.7974,-0.73,开放申购,开放赎回,,,1,,,,
31,2025-07-09,2.8179,2.8179,0.58,开放申购,开放赎回,,,1,,,,
32,2025-07-08,2.8016,2.8016,1.44,开放申购,开放赎回,,,1,,,,
33,2025-07-07,2.7619,2.7619,0.32,开放申购,开放赎回,,,1,,,,
34,2025-07-04,2.7532,2.7532,-1.02,开放申购,开放赎回,,,1,,,,
35,2025-07-03,2.7817,2.7817,1.33,开放申购,开放赎回,,,1,,,,
36,2025-07-02,2.7452,2.7452,-0.96,开放申购,开放赎回,,,1,,,,
37,2025-07-01,2.7719,2.7719,-0.36,开放申购,开放赎回,,,1,,,,
38,2025-06-30,2.7818,2.7818,1.13,开放申购,开放赎回,,,1,,,,
