,FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
0,2025-08-20,0.8610,0.8610,,,1,0.82,开放申购,开放赎回,,,,
1,2025-08-19,0.8540,0.8540,,,1,-0.45,开放申购,开放赎回,,,,
2,2025-08-18,0.8579,0.8579,,,1,-0.22,开放申购,开放赎回,,,,
3,2025-08-15,0.8598,0.8598,,,1,0.10,开放申购,开放赎回,,,,
4,2025-08-14,0.8589,0.8589,,,1,-0.57,开放申购,开放赎回,,,,
5,2025-08-13,0.8638,0.8638,,,1,0.17,开放申购,开放赎回,,,,
6,2025-08-12,0.8623,0.8623,,,1,-0.12,开放申购,开放赎回,,,,
7,2025-08-11,0.8633,0.8633,,,1,-1.30,暂停申购,暂停赎回,,,,
8,2025-08-08,0.8747,0.8747,,,1,0.06,开放申购,开放赎回,,,,
9,2025-08-07,0.8742,0.8742,,,1,0.58,开放申购,开放赎回,,,,
10,2025-08-06,0.8692,0.8692,,,1,-0.07,开放申购,开放赎回,,,,
11,2025-08-05,0.8698,0.8698,,,1,0.07,开放申购,开放赎回,,,,
12,2025-08-04,0.8692,0.8692,,,1,0.54,开放申购,开放赎回,,,,
13,2025-08-01,0.8645,0.8645,,,1,1.75,开放申购,开放赎回,,,,
14,2025-07-31,0.8496,0.8496,,,1,0.53,开放申购,开放赎回,,,,
15,2025-07-30,0.8451,0.8451,,,1,-1.49,开放申购,开放赎回,,,,
16,2025-07-29,0.8579,0.8579,,,1,0.20,开放申购,开放赎回,,,,
17,2025-07-28,0.8562,0.8562,,,1,-0.45,开放申购,开放赎回,,,,
18,2025-07-25,0.8601,0.8601,,,1,-0.91,开放申购,开放赎回,,,,
19,2025-07-24,0.8680,0.8680,,,1,-0.79,开放申购,开放赎回,,,,
20,2025-07-23,0.8749,0.8749,,,1,-0.96,开放申购,开放赎回,,,,
21,2025-07-22,0.8834,0.8834,,,1,0.81,开放申购,开放赎回,,,,
22,2025-07-21,0.8763,0.8763,,,1,1.38,暂停申购,暂停赎回,,,,
23,2025-07-18,0.8644,0.8644,,,1,0.24,开放申购,开放赎回,,,,
24,2025-07-17,0.8623,0.8623,,,1,-0.38,开放申购,开放赎回,,,,
25,2025-07-16,0.8656,0.8656,,,1,0.58,开放申购,开放赎回,,,,
26,2025-07-15,0.8606,0.8606,,,1,-0.45,开放申购,开放赎回,,,,
27,2025-07-14,0.8645,0.8645,,,1,-0.37,开放申购,开放赎回,,,,
28,2025-07-11,0.8677,0.8677,,,1,0.93,开放申购,开放赎回,,,,
29,2025-07-10,0.8597,0.8597,,,1,0.23,开放申购,开放赎回,,,,
30,2025-07-09,0.8577,0.8577,,,1,0.33,开放申购,开放赎回,,,,
31,2025-07-08,0.8549,0.8549,,,1,-0.88,开放申购,开放赎回,,,,
32,2025-07-07,0.8625,0.8625,,,1,-0.06,开放申购,开放赎回,,,,
33,2025-07-04,0.8630,0.8630,,,1,-0.01,暂停申购,暂停赎回,,,,
34,2025-07-03,0.8631,0.8631,,,1,-0.54,开放申购,开放赎回,,,,
35,2025-07-02,0.8678,0.8678,,,1,0.44,开放申购,开放赎回,,,,
36,2025-07-01,0.8640,0.8640,,,1,0.77,暂停申购,暂停赎回,,,,
37,2025-06-30,0.8574,0.8574,,,1,0.81,开放申购,开放赎回,,,,
38,2025-06-27,0.8505,0.8505,,,1,-1.47,开放申购,开放赎回,,,,
39,2025-06-26,0.8632,0.8632,,,1,-0.15,开放申购,开放赎回,,,,
40,2025-06-25,0.8645,0.8645,,,1,0.26,开放申购,开放赎回,,,,
41,2025-06-24,0.8623,0.8623,,,1,-1.43,开放申购,开放赎回,,,,
42,2025-06-23,0.8748,0.8748,,,1,0.30,开放申购,开放赎回,,,,
43,2025-06-20,0.8722,0.8722,,,1,-0.06,开放申购,开放赎回,,,,
44,2025-06-19,0.8727,0.8727,,,1,-0.16,暂停申购,暂停赎回,,,,
45,2025-06-18,0.8741,0.8741,,,1,-0.35,开放申购,开放赎回,,,,
46,2025-06-17,0.8772,0.8772,,,1,-0.14,开放申购,开放赎回,,,,
47,2025-06-16,0.8784,0.8784,,,1,-1.04,开放申购,开放赎回,,,,
48,2025-06-13,0.8876,0.8876,,,1,1.06,开放申购,开放赎回,,,,
49,2025-06-12,0.8783,0.8783,,,1,1.12,开放申购,开放赎回,,,,
50,2025-06-11,0.8686,0.8686,,,1,0.43,开放申购,开放赎回,,,,
51,2025-06-10,0.8649,0.8649,,,1,-0.02,开放申购,开放赎回,,,,
52,2025-06-09,0.8651,0.8651,,,1,0.32,开放申购,开放赎回,,,,
53,2025-06-06,0.8623,0.8623,,,1,-1.14,开放申购,开放赎回,,,,
54,2025-06-05,0.8722,0.8722,,,1,-0.50,开放申购,开放赎回,,,,
55,2025-06-04,0.8766,0.8766,,,1,0.59,开放申购,开放赎回,,,,
56,2025-06-03,0.8715,0.8715,,,1,1.66,开放申购,开放赎回,,,,
57,2025-05-30,0.8573,0.8573,,,1,-0.68,开放申购,开放赎回,,,,
58,2025-05-29,0.8632,0.8632,,,1,0.51,开放申购,开放赎回,,,,
