,FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
0,2025-08-20,117.4769,1.3722,,,1,-0.09,场内买入,场内卖出,,,,
1,2025-08-19,117.5864,1.3733,,,1,0.00,场内买入,场内卖出,,,,
2,2025-08-18,117.5821,1.3732,,,1,-0.28,场内买入,场内卖出,,,,
3,2025-08-15,117.9102,1.3765,,,1,-0.08,场内买入,场内卖出,,,,
4,2025-08-14,117.9996,1.3774,,,1,-0.03,场内买入,场内卖出,,,,
5,2025-08-13,118.0391,1.3778,,,1,-0.02,场内买入,场内卖出,,,,
6,2025-08-12,118.0587,1.3780,,,1,-0.08,场内买入,场内卖出,,,,
7,2025-08-11,118.1474,1.3789,,,1,-0.11,场内买入,场内卖出,,,,
8,2025-08-08,118.2828,1.3802,,,1,0.00,场内买入,场内卖出,,,,
9,2025-08-07,118.2778,1.3802,,,1,0.02,场内买入,场内卖出,,,,
10,2025-08-06,118.2535,1.3799,,,1,0.05,场内买入,场内卖出,,,,
11,2025-08-05,118.1971,1.3794,,,1,0.03,场内买入,场内卖出,,,,
12,2025-08-04,118.1620,1.3790,,,1,0.03,场内买入,场内卖出,,,,
13,2025-08-01,118.1223,1.3786,,,1,0.00,场内买入,场内卖出,,,,
14,2025-07-31,118.1205,1.3786,,,1,0.10,场内买入,场内卖出,,,,
15,2025-07-30,118.0047,1.3774,,,1,0.09,场内买入,场内卖出,,,,
16,2025-07-29,117.8987,1.3764,,,1,-0.16,场内买入,场内卖出,,,,
17,2025-07-28,118.0862,1.3783,,,1,0.06,场内买入,场内卖出,,,,
18,2025-07-25,118.0131,1.3775,,,1,-0.03,场内买入,场内卖出,,,,
19,2025-07-24,118.0427,1.3778,,,1,-0.17,场内买入,场内卖出,,,,
20,2025-07-23,118.2410,1.3798,,,1,-0.10,场内买入,场内卖出,,,,
21,2025-07-22,118.3648,1.3810,,,1,-0.09,场内买入,场内卖出,,,,
22,2025-07-21,118.4765,1.3822,,,1,-0.06,场内买入,场内卖出,,,,
23,2025-07-18,118.5465,1.3829,,,1,-0.01,场内买入,场内卖出,,,,
24,2025-07-17,118.5609,1.3830,,,1,0.02,场内买入,场内卖出,,,,
25,2025-07-16,118.5396,1.3828,,,1,0.04,场内买入,场内卖出,,,,
26,2025-07-15,118.4971,1.3824,,,1,0.09,场内买入,场内卖出,,,,
27,2025-07-14,118.3853,1.3813,,,1,-0.05,场内买入,场内卖出,,,,
28,2025-07-11,118.4467,1.3819,,,1,-0.01,场内买入,场内卖出,,,,
29,2025-07-10,118.4612,1.3820,,,1,-0.02,场内买入,场内卖出,,,,
30,2025-07-09,118.4907,1.3823,,,1,-0.01,场内买入,场内卖出,,,,
31,2025-07-08,118.5033,1.3824,,,1,-0.01,场内买入,场内卖出,,,,
32,2025-07-07,118.5156,1.3826,,,1,0.06,场内买入,场内卖出,,,,
33,2025-07-04,118.4443,1.3818,,,1,0.05,场内买入,场内卖出,,,,
34,2025-07-03,118.3847,1.3812,,,1,0.04,场内买入,场内卖出,,,,
35,2025-07-02,118.3357,1.3808,,,1,0.08,场内买入,场内卖出,,,,
36,2025-07-01,118.2469,1.3799,,,1,0.02,场内买入,场内卖出,,,,
37,2025-06-30,118.2231,1.3796,,,1,-0.03,场内买入,场内卖出,,,,
38,2025-06-27,118.2548,1.3799,,,1,0.06,场内买入,场内卖出,,,,
39,2025-06-26,118.1842,1.3792,,,1,-0.03,场内买入,场内卖出,,,,
40,2025-06-25,118.2201,1.3796,,,1,-0.03,场内买入,场内卖出,,,,
41,2025-06-24,118.2607,1.3800,,,1,-0.04,场内买入,场内卖出,,,,
42,2025-06-23,118.3030,1.3804,,,1,0.02,场内买入,场内卖出,,,,
43,2025-06-20,118.2818,1.3802,,,1,0.05,场内买入,场内卖出,,,,
