,FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
0,2025-08-19,4.9245,4.9835,,,1,-0.50,限制大额申购,开放赎回,,,,
1,2025-08-18,4.9492,5.0082,,,1,-0.08,限制大额申购,开放赎回,,,,
2,2025-08-15,4.9531,5.0121,,,1,-0.22,限制大额申购,开放赎回,,,,
3,2025-08-14,4.9640,5.0230,,,1,0.01,限制大额申购,开放赎回,,,,
4,2025-08-13,4.9633,5.0223,,,1,0.21,限制大额申购,开放赎回,,,,
5,2025-08-12,4.9528,5.0118,,,1,1.10,限制大额申购,开放赎回,,,,
6,2025-08-11,4.8991,4.9581,,,1,-0.21,限制大额申购,开放赎回,,,,
7,2025-08-08,4.9093,4.9683,,,1,0.80,限制大额申购,开放赎回,,,,
8,2025-08-07,4.8702,4.9292,,,1,-0.16,限制大额申购,开放赎回,,,,
9,2025-08-06,4.8781,4.9371,,,1,0.75,限制大额申购,开放赎回,,,,
10,2025-08-05,4.8417,4.9007,,,1,-0.50,限制大额申购,开放赎回,,,,
11,2025-08-04,4.8661,4.9251,,,1,1.26,限制大额申购,开放赎回,,,,
12,2025-08-01,4.8054,4.8644,,,1,-1.54,限制大额申购,开放赎回,,,,
13,2025-07-31,4.8804,4.9394,,,1,-0.29,限制大额申购,开放赎回,,,,
14,2025-07-30,4.8945,4.9535,,,1,-0.22,限制大额申购,开放赎回,,,,
15,2025-07-29,4.9055,4.9645,,,1,-0.23,限制大额申购,开放赎回,,,,
16,2025-07-28,4.9167,4.9757,,,1,0.07,限制大额申购,开放赎回,,,,
17,2025-07-25,4.9132,4.9722,,,1,0.42,限制大额申购,开放赎回,,,,
18,2025-07-24,4.8927,4.9517,,,1,0.03,限制大额申购,开放赎回,,,,
19,2025-07-23,4.8913,4.9503,,,1,0.66,限制大额申购,开放赎回,,,,
20,2025-07-22,4.8593,4.9183,,,1,-0.02,限制大额申购,开放赎回,,,,
21,2025-07-21,4.8601,4.9191,,,1,0.16,限制大额申购,开放赎回,,,,
22,2025-07-18,4.8521,4.9111,,,1,0.05,限制大额申购,开放赎回,,,,
23,2025-07-17,4.8497,4.9087,,,1,0.42,限制大额申购,开放赎回,,,,
24,2025-07-16,4.8296,4.8886,,,1,0.34,限制大额申购,开放赎回,,,,
25,2025-07-15,4.8134,4.8724,,,1,-0.36,限制大额申购,开放赎回,,,,
26,2025-07-14,4.8308,4.8898,,,1,0.14,限制大额申购,开放赎回,,,,
27,2025-07-11,4.8240,4.8830,,,1,-0.37,限制大额申购,开放赎回,,,,
28,2025-07-10,4.8419,4.9009,,,1,0.23,限制大额申购,开放赎回,,,,
29,2025-07-09,4.8309,4.8899,,,1,0.59,限制大额申购,开放赎回,,,,
