,FSRQ,DWJZ,LJJZ,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,NAVTYPE,SDATE,ACTUALSYI,DTYPE,FHSP
0,2025-08-19,1.7210,1.8840,-0.41,开放申购,开放赎回,,,1,,,,
1,2025-08-18,1.7280,1.8910,-0.29,开放申购,开放赎回,,,1,,,,
2,2025-08-15,1.7330,1.8960,0.12,开放申购,开放赎回,,,1,,,,
3,2025-08-14,1.7310,1.8940,-0.57,开放申购,开放赎回,,,1,,,,
4,2025-08-13,1.7410,1.9040,0.12,开放申购,开放赎回,,,1,,,,
5,2025-08-12,1.7390,1.9020,-0.06,开放申购,开放赎回,,,1,,,,
6,2025-08-11,1.7400,1.9030,-1.19,开放申购,开放赎回,,,1,,,,
7,2025-08-08,1.7610,1.9240,0.11,开放申购,开放赎回,,,1,,,,
8,2025-08-07,1.7590,1.9220,0.51,开放申购,开放赎回,,,1,,,,
9,2025-08-06,1.7500,1.9130,-0.17,开放申购,开放赎回,,,1,,,,
10,2025-08-05,1.7530,1.9160,0.11,开放申购,开放赎回,,,1,,,,
11,2025-08-04,1.7510,1.9140,1.16,开放申购,开放赎回,,,1,,,,
12,2025-08-01,1.7310,1.8940,1.05,暂停申购,暂停赎回,,,1,,,,
13,2025-07-31,1.7130,1.8760,0.47,开放申购,开放赎回,,,1,,,,
14,2025-07-30,1.7050,1.8680,-1.45,开放申购,开放赎回,,,1,,,,
15,2025-07-29,1.7300,1.8930,0.35,开放申购,开放赎回,,,1,,,,
16,2025-07-28,1.7240,1.8870,-0.52,开放申购,开放赎回,,,1,,,,
17,2025-07-25,1.7330,1.8960,-0.91,开放申购,开放赎回,,,1,,,,
18,2025-07-24,1.7490,1.9120,-0.85,开放申购,开放赎回,,,1,,,,
19,2025-07-23,1.7640,1.9270,-0.90,开放申购,开放赎回,,,1,,,,
20,2025-07-22,1.7800,1.9430,0.74,开放申购,开放赎回,,,1,,,,
21,2025-07-21,1.7670,1.9300,1.44,开放申购,开放赎回,,,1,,,,
22,2025-07-18,1.7420,1.9050,0.35,开放申购,开放赎回,,,1,,,,
23,2025-07-17,1.7360,1.8990,-0.63,开放申购,开放赎回,,,1,,,,
24,2025-07-16,1.7470,1.9100,0.87,开放申购,开放赎回,,,1,,,,
25,2025-07-15,1.7320,1.8950,-0.52,开放申购,开放赎回,,,1,,,,
26,2025-07-14,1.7410,1.9040,-0.29,开放申购,开放赎回,,,1,,,,
27,2025-07-11,1.7460,1.9090,0.92,开放申购,开放赎回,,,1,,,,
28,2025-07-10,1.7300,1.8930,0.23,开放申购,开放赎回,,,1,,,,
29,2025-07-09,1.7260,1.8890,0.41,开放申购,开放赎回,,,1,,,,
30,2025-07-08,1.7190,1.8820,-0.87,开放申购,开放赎回,,,1,,,,
31,2025-07-07,1.7340,1.8970,-0.12,开放申购,开放赎回,,,1,,,,
32,2025-07-04,1.7360,1.8990,0.06,暂停申购,暂停赎回,,,1,,,,
33,2025-07-03,1.7350,1.8980,-0.57,开放申购,开放赎回,,,1,,,,
34,2025-07-02,1.7450,1.9080,0.35,开放申购,开放赎回,,,1,,,,
35,2025-07-01,1.7390,1.9020,1.05,开放申购,开放赎回,,,1,,,,
36,2025-06-30,1.7210,1.8840,0.82,开放申购,开放赎回,,,1,,,,
37,2025-06-27,1.7070,1.8700,-1.61,开放申购,开放赎回,,,1,,,,
38,2025-06-26,1.7350,1.8980,-0.12,开放申购,开放赎回,,,1,,,,
39,2025-06-25,1.7370,1.9000,0.35,开放申购,开放赎回,,,1,,,,
40,2025-06-24,1.7310,1.8940,-1.87,开放申购,开放赎回,,,1,,,,
41,2025-06-23,1.7640,1.9270,0.46,开放申购,开放赎回,,,1,,,,
42,2025-06-20,1.7560,1.9190,-0.11,开放申购,开放赎回,,,1,,,,
43,2025-06-19,1.7580,1.9210,-0.28,暂停申购,暂停赎回,,,1,,,,
44,2025-06-18,1.7630,1.9260,-0.17,开放申购,开放赎回,,,1,,,,
45,2025-06-17,1.7660,1.9290,-0.28,开放申购,开放赎回,,,1,,,,
46,2025-06-16,1.7710,1.9340,-0.95,开放申购,开放赎回,,,1,,,,
47,2025-06-13,1.7880,1.9510,1.07,开放申购,开放赎回,,,1,,,,
48,2025-06-12,1.7690,1.9320,1.14,开放申购,开放赎回,,,1,,,,
49,2025-06-11,1.7490,1.9120,0.40,开放申购,开放赎回,,,1,,,,
50,2025-06-10,1.7420,1.9050,-0.11,开放申购,开放赎回,,,1,,,,
51,2025-06-09,1.7440,1.9070,0.23,暂停申购,暂停赎回,,,1,,,,
52,2025-06-06,1.7400,1.9030,-0.91,开放申购,开放赎回,,,1,,,,
53,2025-06-05,1.7560,1.9190,-0.57,开放申购,开放赎回,,,1,,,,
54,2025-06-04,1.7660,1.9290,0.68,开放申购,开放赎回,,,1,,,,
55,2025-06-03,1.7540,1.9170,1.68,开放申购,开放赎回,,,1,,,,
56,2025-05-30,1.7250,1.8880,-0.52,开放申购,开放赎回,,,1,,,,
57,2025-05-29,1.7340,1.8970,0.29,暂停申购,暂停赎回,,,1,,,,
58,2025-05-28,1.7290,1.8920,-0.06,开放申购,开放赎回,,,1,,,,
