,FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
0,2025-08-20,2.3761,2.3761,,,1,1.00,开放申购,开放赎回,,,,
1,2025-08-19,2.3526,2.3526,,,1,-0.38,开放申购,开放赎回,,,,
2,2025-08-18,2.3616,2.3616,,,1,0.18,开放申购,开放赎回,,,,
3,2025-08-15,2.3573,2.3573,,,1,0.41,开放申购,开放赎回,,,,
4,2025-08-14,2.3477,2.3477,,,1,-0.09,开放申购,开放赎回,,,,
5,2025-08-13,2.3498,2.3498,,,1,0.76,开放申购,开放赎回,,,,
6,2025-08-12,2.3321,2.3321,,,1,0.33,开放申购,开放赎回,,,,
7,2025-08-11,2.3245,2.3245,,,1,0.19,开放申购,开放赎回,,,,
8,2025-08-08,2.3202,2.3202,,,1,0.23,开放申购,开放赎回,,,,
9,2025-08-07,2.3148,2.3148,,,1,-0.07,开放申购,开放赎回,,,,
10,2025-08-06,2.3165,2.3165,,,1,0.32,开放申购,开放赎回,,,,
11,2025-08-05,2.3090,2.3090,,,1,0.36,开放申购,开放赎回,,,,
12,2025-08-04,2.3007,2.3007,,,1,0.19,开放申购,开放赎回,,,,
13,2025-08-01,2.2964,2.2964,,,1,-0.27,开放申购,开放赎回,,,,
14,2025-07-31,2.3027,2.3027,,,1,-1.25,开放申购,开放赎回,,,,
15,2025-07-30,2.3318,2.3318,,,1,0.05,开放申购,开放赎回,,,,
16,2025-07-29,2.3307,2.3307,,,1,-0.01,开放申购,开放赎回,,,,
17,2025-07-28,2.3310,2.3310,,,1,-0.13,开放申购,开放赎回,,,,
18,2025-07-25,2.3341,2.3341,,,1,-0.52,开放申购,开放赎回,,,,
19,2025-07-24,2.3464,2.3464,,,1,0.25,开放申购,开放赎回,,,,
20,2025-07-23,2.3405,2.3405,,,1,0.35,开放申购,开放赎回,,,,
21,2025-07-22,2.3323,2.3323,,,1,0.34,开放申购,开放赎回,,,,
22,2025-07-21,2.3244,2.3244,,,1,0.33,开放申购,开放赎回,,,,
23,2025-07-18,2.3168,2.3168,,,1,0.40,开放申购,开放赎回,,,,
24,2025-07-17,2.3076,2.3076,,,1,0.17,开放申购,开放赎回,,,,
25,2025-07-16,2.3036,2.3036,,,1,0.03,开放申购,开放赎回,,,,
26,2025-07-15,2.3028,2.3028,,,1,0.39,开放申购,开放赎回,,,,
27,2025-07-14,2.2938,2.2938,,,1,0.27,开放申购,开放赎回,,,,
28,2025-07-11,2.2876,2.2876,,,1,0.31,开放申购,开放赎回,,,,
29,2025-07-10,2.2805,2.2805,,,1,0.07,开放申购,开放赎回,,,,
30,2025-07-09,2.2788,2.2788,,,1,-0.33,开放申购,开放赎回,,,,
31,2025-07-08,2.2863,2.2863,,,1,0.11,开放申购,开放赎回,,,,
32,2025-07-07,2.2838,2.2838,,,1,-0.38,开放申购,开放赎回,,,,
33,2025-07-04,2.2926,2.2926,,,1,0.09,开放申购,开放赎回,,,,
34,2025-07-03,2.2906,2.2906,,,1,0.12,开放申购,开放赎回,,,,
35,2025-07-02,2.2878,2.2878,,,1,0.25,开放申购,开放赎回,,,,
36,2025-07-01,2.2822,2.2822,,,1,0.02,开放申购,开放赎回,,,,
37,2025-06-30,2.2817,2.2817,,,1,-0.22,开放申购,开放赎回,,,,
38,2025-06-27,2.2867,2.2867,,,1,-0.20,开放申购,开放赎回,,,,
39,2025-06-26,2.2913,2.2913,,,1,-0.46,开放申购,开放赎回,,,,
40,2025-06-25,2.3019,2.3019,,,1,0.34,开放申购,开放赎回,,,,
41,2025-06-24,2.2941,2.2941,,,1,0.59,开放申购,开放赎回,,,,
42,2025-06-23,2.2807,2.2807,,,1,-0.30,开放申购,开放赎回,,,,
43,2025-06-20,2.2875,2.2875,,,1,0.24,开放申购,开放赎回,,,,
44,2025-06-19,2.2821,2.2821,,,1,-0.74,开放申购,开放赎回,,,,
45,2025-06-18,2.2990,2.2990,,,1,-0.20,开放申购,开放赎回,,,,
46,2025-06-17,2.3035,2.3035,,,1,-0.03,开放申购,开放赎回,,,,
47,2025-06-16,2.3043,2.3043,,,1,0.12,开放申购,开放赎回,,,,
48,2025-06-13,2.3016,2.3016,,,1,-0.25,开放申购,开放赎回,,,,
49,2025-06-12,2.3074,2.3074,,,1,-0.27,开放申购,开放赎回,,,,
50,2025-06-11,2.3137,2.3137,,,1,0.50,开放申购,开放赎回,,,,
51,2025-06-10,2.3023,2.3023,,,1,-0.25,开放申购,开放赎回,,,,
52,2025-06-09,2.3081,2.3081,,,1,0.22,开放申购,开放赎回,,,,
53,2025-06-06,2.3030,2.3030,,,1,0.11,开放申购,开放赎回,,,,
54,2025-06-05,2.3004,2.3004,,,1,0.19,开放申购,开放赎回,,,,
55,2025-06-04,2.2961,2.2961,,,1,-0.18,开放申购,开放赎回,,,,
56,2025-06-03,2.3003,2.3003,,,1,-0.09,开放申购,开放赎回,,,,
57,2025-05-30,2.3024,2.3024,,,1,-0.36,开放申购,开放赎回,,,,
58,2025-05-29,2.3107,2.3107,,,1,0.10,开放申购,开放赎回,,,,
59,2025-05-28,2.3085,2.3085,,,1,0.20,开放申购,开放赎回,,,,
60,2025-05-27,2.3040,2.3040,,,1,-0.16,开放申购,开放赎回,,,,
61,2025-05-26,2.3076,2.3076,,,1,-0.35,开放申购,开放赎回,,,,
62,2025-05-23,2.3156,2.3156,,,1,0.11,开放申购,开放赎回,,,,
63,2025-05-22,2.3131,2.3131,,,1,-0.01,开放申购,开放赎回,,,,
64,2025-05-21,2.3134,2.3134,,,1,0.23,开放申购,开放赎回,,,,
65,2025-05-20,2.3081,2.3081,,,1,0.79,开放申购,开放赎回,,,,
66,2025-05-19,2.2901,2.2901,,,1,0.30,开放申购,开放赎回,,,,
67,2025-05-16,2.2832,2.2832,,,1,0.19,开放申购,开放赎回,,,,
68,2025-05-15,2.2789,2.2789,,,1,-0.09,开放申购,开放赎回,,,,
69,2025-05-14,2.2810,2.2810,,,1,0.38,开放申购,开放赎回,,,,
70,2025-05-13,2.2724,2.2724,,,1,-0.44,开放申购,开放赎回,,,,
71,2025-05-12,2.2824,2.2824,,,1,0.89,开放申购,开放赎回,,,,
72,2025-05-09,2.2623,2.2623,,,1,0.30,开放申购,开放赎回,,,,
73,2025-05-08,2.2556,2.2556,,,1,0.31,开放申购,开放赎回,,,,
74,2025-05-07,2.2487,2.2487,,,1,0.52,开放申购,开放赎回,,,,
75,2025-05-06,2.2371,2.2371,,,1,0.68,开放申购,开放赎回,,,,
76,2025-04-30,2.2221,2.2221,,,1,-0.04,开放申购,开放赎回,,,,
77,2025-04-29,2.2229,2.2229,,,1,0.23,开放申购,开放赎回,,,,
78,2025-04-28,2.2179,2.2179,,,1,0.28,开放申购,开放赎回,,,,
79,2025-04-25,2.2118,2.2118,,,1,-0.06,开放申购,开放赎回,,,,
80,2025-04-24,2.2132,2.2132,,,1,0.13,开放申购,开放赎回,,,,
81,2025-04-23,2.2103,2.2103,,,1,0.17,开放申购,开放赎回,,,,
82,2025-04-22,2.2066,2.2066,,,1,0.08,开放申购,开放赎回,,,,
83,2025-04-21,2.2049,2.2049,,,1,0.31,开放申购,开放赎回,,,,
84,2025-04-18,2.1980,2.1980,,,1,0.04,开放申购,开放赎回,,,,
85,2025-04-17,2.1971,2.1971,,,1,0.04,开放申购,开放赎回,,,,
86,2025-04-16,2.1962,2.1962,,,1,-0.35,开放申购,开放赎回,,,,
87,2025-04-15,2.2040,2.2040,,,1,0.71,开放申购,开放赎回,,,,
88,2025-04-14,2.1885,2.1885,,,1,0.17,开放申购,开放赎回,,,,
89,2025-04-11,2.1848,2.1848,,,1,0.29,开放申购,开放赎回,,,,
90,2025-04-10,2.1785,2.1785,,,1,1.34,开放申购,开放赎回,,,,
91,2025-04-09,2.1498,2.1498,,,1,0.06,开放申购,开放赎回,,,,
92,2025-04-08,2.1486,2.1486,,,1,1.09,开放申购,开放赎回,,,,
93,2025-04-07,2.1255,2.1255,,,1,-5.95,开放申购,开放赎回,,,,
94,2025-04-03,2.2599,2.2599,,,1,-1.34,开放申购,开放赎回,,,,
95,2025-04-02,2.2905,2.2905,,,1,0.26,开放申购,开放赎回,,,,
96,2025-04-01,2.2846,2.2846,,,1,0.07,开放申购,开放赎回,,,,
97,2025-03-31,2.2831,2.2831,,,1,0.15,开放申购,开放赎回,,,,
98,2025-03-28,2.2797,2.2797,,,1,0.12,开放申购,开放赎回,,,,
99,2025-03-27,2.2769,2.2769,,,1,0.38,开放申购,开放赎回,,,,
100,2025-03-26,2.2683,2.2683,,,1,0.07,开放申购,开放赎回,,,,
101,2025-03-25,2.2667,2.2667,,,1,-0.41,开放申购,开放赎回,,,,
102,2025-03-24,2.2760,2.2760,,,1,0.27,开放申购,开放赎回,,,,
103,2025-03-21,2.2698,2.2698,,,1,-0.16,开放申购,开放赎回,,,,
104,2025-03-20,2.2734,2.2734,,,1,-1.12,开放申购,开放赎回,,,,
105,2025-03-19,2.2991,2.2991,,,1,0.00,开放申购,开放赎回,,,,
106,2025-03-18,2.2991,2.2991,,,1,1.71,开放申购,开放赎回,,,,
107,2025-03-17,2.2604,2.2604,,,1,-0.01,开放申购,开放赎回,,,,
108,2025-03-14,2.2606,2.2606,,,1,1.29,开放申购,开放赎回,,,,
109,2025-03-13,2.2318,2.2318,,,1,-0.18,开放申购,开放赎回,,,,
110,2025-03-12,2.2358,2.2358,,,1,-0.29,开放申购,开放赎回,,,,
111,2025-03-11,2.2423,2.2423,,,1,-0.11,开放申购,开放赎回,,,,
112,2025-03-10,2.2448,2.2448,,,1,-0.66,开放申购,开放赎回,,,,
113,2025-03-07,2.2598,2.2598,,,1,0.14,开放申购,开放赎回,,,,
114,2025-03-06,2.2567,2.2567,,,1,0.97,开放申购,开放赎回,,,,
115,2025-03-05,2.2350,2.2350,,,1,0.73,开放申购,开放赎回,,,,
116,2025-03-04,2.2189,2.2189,,,1,0.27,开放申购,开放赎回,,,,
117,2025-03-03,2.2129,2.2129,,,1,-0.47,开放申购,开放赎回,,,,
118,2025-02-28,2.2233,2.2233,,,1,-0.61,开放申购,开放赎回,,,,
119,2025-02-27,2.2369,2.2369,,,1,0.01,开放申购,开放赎回,,,,
120,2025-02-26,2.2367,2.2367,,,1,0.51,开放申购,开放赎回,,,,
121,2025-02-25,2.2253,2.2253,,,1,-1.26,开放申购,开放赎回,,,,
122,2025-02-24,2.2536,2.2536,,,1,-0.94,开放申购,开放赎回,,,,
123,2025-02-21,2.2750,2.2750,,,1,2.40,开放申购,开放赎回,,,,
124,2025-02-20,2.2217,2.2217,,,1,-0.50,开放申购,开放赎回,,,,
125,2025-02-19,2.2329,2.2329,,,1,0.11,开放申购,开放赎回,,,,
126,2025-02-18,2.2305,2.2305,,,1,0.20,开放申购,开放赎回,,,,
127,2025-02-17,2.2260,2.2260,,,1,0.39,开放申购,开放赎回,,,,
128,2025-02-14,2.2174,2.2174,,,1,1.33,开放申购,开放赎回,,,,
129,2025-02-13,2.1882,2.1882,,,1,-0.47,开放申购,开放赎回,,,,
130,2025-02-12,2.1985,2.1985,,,1,0.77,开放申购,开放赎回,,,,
131,2025-02-11,2.1816,2.1816,,,1,-0.02,开放申购,开放赎回,,,,
132,2025-02-10,2.1821,2.1821,,,1,0.43,开放申购,开放赎回,,,,
133,2025-02-07,2.1727,2.1727,,,1,0.81,开放申购,开放赎回,,,,
134,2025-02-06,2.1553,2.1553,,,1,0.30,开放申购,开放赎回,,,,
135,2025-02-05,2.1489,2.1489,,,1,-0.26,开放申购,开放赎回,,,,
136,2025-01-27,2.1544,2.1544,,,1,0.34,开放申购,开放赎回,,,,
137,2025-01-24,2.1471,2.1471,,,1,0.56,开放申购,开放赎回,,,,
138,2025-01-23,2.1351,2.1351,,,1,-0.38,开放申购,开放赎回,,,,
139,2025-01-22,2.1432,2.1432,,,1,-0.66,开放申购,开放赎回,,,,
140,2025-01-21,2.1574,2.1574,,,1,-0.16,开放申购,开放赎回,,,,
141,2025-01-20,2.1608,2.1608,,,1,0.13,开放申购,开放赎回,,,,
142,2025-01-17,2.1580,2.1580,,,1,0.19,开放申购,开放赎回,,,,
143,2025-01-16,2.1540,2.1540,,,1,0.29,开放申购,开放赎回,,,,
144,2025-01-15,2.1478,2.1478,,,1,-0.07,开放申购,开放赎回,,,,
