,FSRQ,DWJZ,LJJZ,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,NAVTYPE,SDATE,ACTUALSYI,DTYPE,FHSP
0,2025-08-21,2.7390,2.7390,0.16,限制大额申购,开放赎回,,,1,,,,
1,2025-08-20,2.7345,2.7345,1.40,限制大额申购,开放赎回,,,1,,,,
2,2025-08-19,2.6968,2.6968,1.54,限制大额申购,开放赎回,,,1,,,,
3,2025-08-18,2.6558,2.6558,2.83,限制大额申购,开放赎回,,,1,,,,
4,2025-08-15,2.5826,2.5826,1.01,限制大额申购,开放赎回,,,1,,,,
5,2025-08-14,2.5567,2.5567,-1.79,限制大额申购,开放赎回,,,1,,,,
6,2025-08-13,2.6032,2.6032,4.60,限制大额申购,开放赎回,,,1,,,,
7,2025-08-12,2.4886,2.4886,3.31,限制大额申购,开放赎回,,,1,,,,
8,2025-08-11,2.4088,2.4088,2.14,限制大额申购,开放赎回,,,1,,,,
9,2025-08-08,2.3584,2.3584,-0.95,限制大额申购,开放赎回,,,1,,,,
10,2025-08-07,2.3809,2.3809,-0.22,限制大额申购,开放赎回,,,1,,,,
11,2025-08-06,2.3861,2.3861,0.88,限制大额申购,开放赎回,,,1,,,,
12,2025-08-05,2.3652,2.3652,0.70,限制大额申购,开放赎回,,,1,,,,
13,2025-08-04,2.3487,2.3487,0.13,限制大额申购,开放赎回,,,1,,,,
14,2025-08-01,2.3457,2.3457,-1.62,限制大额申购,开放赎回,,,1,,,,
15,2025-07-31,2.3844,2.3844,-0.21,限制大额申购,开放赎回,,,1,,,,
16,2025-07-30,2.3893,2.3893,-0.27,限制大额申购,开放赎回,,,1,,,,
17,2025-07-29,2.3958,2.3958,2.82,限制大额申购,开放赎回,,,1,,,,
18,2025-07-28,2.3300,2.3300,1.68,限制大额申购,开放赎回,,,1,,,,
19,2025-07-25,2.2914,2.2914,0.24,限制大额申购,开放赎回,,,1,,,,
20,2025-07-24,2.2859,2.2859,0.81,限制大额申购,开放赎回,,,1,,,,
21,2025-07-23,2.2675,2.2675,-0.42,限制大额申购,开放赎回,,,1,,,,
22,2025-07-22,2.2770,2.2770,-0.49,限制大额申购,开放赎回,,,1,,,,
23,2025-07-21,2.2883,2.2883,-0.04,限制大额申购,开放赎回,,,1,,,,
24,2025-07-18,2.2892,2.2892,-0.37,限制大额申购,开放赎回,,,1,,,,
25,2025-07-17,2.2978,2.2978,3.20,限制大额申购,开放赎回,,,1,,,,
26,2025-07-16,2.2265,2.2265,0.41,限制大额申购,开放赎回,,,1,,,,
27,2025-07-15,2.2173,2.2173,5.57,限制大额申购,开放赎回,,,1,,,,
28,2025-07-14,2.1003,2.1003,0.44,限制大额申购,开放赎回,,,1,,,,
29,2025-07-11,2.0912,2.0912,-0.15,限制大额申购,开放赎回,,,1,,,,
30,2025-07-10,2.0944,2.0944,-0.51,限制大额申购,开放赎回,,,1,,,,
31,2025-07-09,2.1051,2.1051,-0.60,限制大额申购,开放赎回,,,1,,,,
