,FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
0,2025-08-21,5.0389,5.0389,,,1,0.61,开放申购,开放赎回,,,,
1,2025-08-20,5.0083,5.0083,,,1,1.06,开放申购,开放赎回,,,,
2,2025-08-19,4.9560,4.9560,,,1,-0.26,开放申购,开放赎回,,,,
3,2025-08-18,4.9690,4.9690,,,1,0.34,开放申购,开放赎回,,,,
4,2025-08-15,4.9520,4.9520,,,1,0.47,开放申购,开放赎回,,,,
5,2025-08-14,4.9288,4.9288,,,1,-0.12,开放申购,开放赎回,,,,
6,2025-08-13,4.9346,4.9346,,,1,0.72,开放申购,开放赎回,,,,
7,2025-08-12,4.8995,4.8995,,,1,0.40,开放申购,开放赎回,,,,
8,2025-08-11,4.8801,4.8801,,,1,0.23,开放申购,开放赎回,,,,
9,2025-08-08,4.8690,4.8690,,,1,0.24,开放申购,开放赎回,,,,
10,2025-08-07,4.8573,4.8573,,,1,-0.03,开放申购,开放赎回,,,,
11,2025-08-06,4.8590,4.8590,,,1,0.38,开放申购,开放赎回,,,,
12,2025-08-05,4.8405,4.8405,,,1,0.46,开放申购,开放赎回,,,,
13,2025-08-04,4.8185,4.8185,,,1,0.25,开放申购,开放赎回,,,,
14,2025-08-01,4.8067,4.8067,,,1,-0.25,开放申购,开放赎回,,,,
15,2025-07-31,4.8188,4.8188,,,1,-1.54,开放申购,开放赎回,,,,
16,2025-07-30,4.8943,4.8943,,,1,0.09,开放申购,开放赎回,,,,
17,2025-07-29,4.8898,4.8898,,,1,-0.10,开放申购,开放赎回,,,,
18,2025-07-28,4.8948,4.8948,,,1,-0.18,开放申购,开放赎回,,,,
19,2025-07-25,4.9036,4.9036,,,1,-0.58,开放申购,开放赎回,,,,
20,2025-07-24,4.9323,4.9323,,,1,0.30,开放申购,开放赎回,,,,
21,2025-07-23,4.9176,4.9176,,,1,0.43,开放申购,开放赎回,,,,
22,2025-07-22,4.8965,4.8965,,,1,0.43,开放申购,开放赎回,,,,
23,2025-07-21,4.8756,4.8756,,,1,0.43,开放申购,开放赎回,,,,
24,2025-07-18,4.8548,4.8548,,,1,0.49,开放申购,开放赎回,,,,
25,2025-07-17,4.8309,4.8309,,,1,0.16,开放申购,开放赎回,,,,
26,2025-07-16,4.8232,4.8232,,,1,0.03,开放申购,开放赎回,,,,
27,2025-07-15,4.8218,4.8218,,,1,0.43,开放申购,开放赎回,,,,
28,2025-07-14,4.8011,4.8011,,,1,0.33,开放申购,开放赎回,,,,
29,2025-07-11,4.7852,4.7852,,,1,0.39,开放申购,开放赎回,,,,
30,2025-07-10,4.7664,4.7664,,,1,0.18,开放申购,开放赎回,,,,
31,2025-07-09,4.7576,4.7576,,,1,-0.40,开放申购,开放赎回,,,,
32,2025-07-08,4.7765,4.7765,,,1,0.15,限制大额申购,开放赎回,,,,
33,2025-07-07,4.7692,4.7692,,,1,-0.51,限制大额申购,开放赎回,,,,
34,2025-07-04,4.7938,4.7938,,,1,0.03,限制大额申购,开放赎回,,,,
35,2025-07-03,4.7925,4.7925,,,1,0.20,限制大额申购,开放赎回,,,,
36,2025-07-02,4.7829,4.7829,,,1,0.38,限制大额申购,开放赎回,,,,
37,2025-07-01,4.7648,4.7648,,,1,0.02,限制大额申购,开放赎回,,,,
38,2025-06-30,4.7640,4.7640,,,1,-0.35,限制大额申购,开放赎回,,,,
39,2025-06-27,4.7809,4.7809,,,1,-0.22,限制大额申购,开放赎回,,,,
40,2025-06-26,4.7916,4.7916,,,1,-0.61,限制大额申购,开放赎回,,,,
41,2025-06-25,4.8208,4.8208,,,1,0.49,限制大额申购,开放赎回,,,,
42,2025-06-24,4.7973,4.7973,,,1,0.79,限制大额申购,开放赎回,,,,
43,2025-06-23,4.7597,4.7597,,,1,-0.36,限制大额申购,开放赎回,,,,
44,2025-06-20,4.7767,4.7767,,,1,0.30,限制大额申购,开放赎回,,,,
45,2025-06-19,4.7625,4.7625,,,1,-1.02,限制大额申购,开放赎回,,,,
46,2025-06-18,4.8114,4.8114,,,1,-0.26,限制大额申购,开放赎回,,,,
47,2025-06-17,4.8239,4.8239,,,1,-0.05,限制大额申购,开放赎回,,,,
48,2025-06-16,4.8261,4.8261,,,1,0.16,限制大额申购,开放赎回,,,,
49,2025-06-13,4.8184,4.8184,,,1,-0.44,限制大额申购,开放赎回,,,,
