,FSRQ,DWJZ,LJJZ,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,NAVTYPE,SDATE,ACTUALSYI,DTYPE,FHSP
0,2025-08-20,3.9043,3.9043,-0.73,限制大额申购,开放赎回,,,1,,,,
1,2025-08-19,3.9332,3.9332,-1.69,限制大额申购,开放赎回,,,1,,,,
2,2025-08-18,4.0007,4.0007,0.23,限制大额申购,开放赎回,,,1,,,,
3,2025-08-15,3.9914,3.9914,0.31,限制大额申购,开放赎回,,,1,,,,
4,2025-08-14,3.9792,3.9792,-0.23,限制大额申购,开放赎回,,,1,,,,
5,2025-08-13,3.9885,3.9885,-0.32,限制大额申购,开放赎回,,,1,,,,
6,2025-08-12,4.0014,4.0014,1.49,限制大额申购,开放赎回,,,1,,,,
7,2025-08-11,3.9425,3.9425,-0.46,限制大额申购,开放赎回,,,1,,,,
8,2025-08-08,3.9608,3.9608,0.22,限制大额申购,开放赎回,,,1,,,,
9,2025-08-07,3.9522,3.9522,0.28,限制大额申购,开放赎回,,,1,,,,
10,2025-08-06,3.9412,3.9412,0.36,限制大额申购,开放赎回,,,1,,,,
11,2025-08-05,3.9271,3.9271,-0.58,限制大额申购,开放赎回,,,1,,,,
12,2025-08-04,3.9500,3.9500,1.77,限制大额申购,开放赎回,,,1,,,,
13,2025-08-01,3.8813,3.8813,-2.83,限制大额申购,开放赎回,,,1,,,,
14,2025-07-31,3.9944,3.9944,0.73,限制大额申购,开放赎回,,,1,,,,
15,2025-07-30,3.9653,3.9653,0.44,限制大额申购,开放赎回,,,1,,,,
16,2025-07-29,3.9481,3.9481,0.75,限制大额申购,开放赎回,,,1,,,,
17,2025-07-28,3.9187,3.9187,0.35,限制大额申购,开放赎回,,,1,,,,
18,2025-07-25,3.9052,3.9052,0.05,限制大额申购,开放赎回,,,1,,,,
19,2025-07-24,3.9034,3.9034,0.66,限制大额申购,开放赎回,,,1,,,,
20,2025-07-23,3.8779,3.8779,0.92,限制大额申购,开放赎回,,,1,,,,
21,2025-07-22,3.8424,3.8424,-0.68,限制大额申购,开放赎回,,,1,,,,
22,2025-07-21,3.8689,3.8689,-0.02,限制大额申购,开放赎回,,,1,,,,
23,2025-07-18,3.8697,3.8697,0.12,限制大额申购,开放赎回,,,1,,,,
24,2025-07-17,3.8649,3.8649,1.00,限制大额申购,开放赎回,,,1,,,,
25,2025-07-16,3.8268,3.8268,0.07,限制大额申购,开放赎回,,,1,,,,
26,2025-07-15,3.8240,3.8240,0.67,限制大额申购,开放赎回,,,1,,,,
27,2025-07-14,3.7986,3.7986,0.39,限制大额申购,开放赎回,,,1,,,,
28,2025-07-11,3.7840,3.7840,-0.64,限制大额申购,开放赎回,,,1,,,,
29,2025-07-10,3.8084,3.8084,-0.78,限制大额申购,开放赎回,,,1,,,,
30,2025-07-09,3.8384,3.8384,0.76,限制大额申购,开放赎回,,,1,,,,
31,2025-07-08,3.8093,3.8093,-0.40,限制大额申购,开放赎回,,,1,,,,
32,2025-07-07,3.8245,3.8245,-0.53,限制大额申购,开放赎回,,,1,,,,
33,2025-07-04,3.8448,3.8448,0.02,暂停申购,暂停赎回,,,1,,,,
34,2025-07-03,3.8442,3.8442,1.06,限制大额申购,开放赎回,,,1,,,,
35,2025-07-02,3.8039,3.8039,0.42,限制大额申购,开放赎回,,,1,,,,
36,2025-07-01,3.7881,3.7881,-1.18,限制大额申购,开放赎回,,,1,,,,
37,2025-06-30,3.8335,3.8335,0.34,限制大额申购,开放赎回,,,1,,,,
38,2025-06-27,3.8207,3.8207,0.96,限制大额申购,开放赎回,,,1,,,,
39,2025-06-26,3.7842,3.7842,0.99,限制大额申购,开放赎回,,,1,,,,
40,2025-06-25,3.7472,3.7472,0.84,限制大额申购,开放赎回,,,1,,,,
41,2025-06-24,3.7159,3.7159,1.72,限制大额申购,开放赎回,,,1,,,,
42,2025-06-23,3.6532,3.6532,0.49,限制大额申购,开放赎回,,,1,,,,
43,2025-06-20,3.6354,3.6354,-0.80,限制大额申购,开放赎回,,,1,,,,
44,2025-06-19,3.6648,3.6648,-0.15,暂停申购,暂停赎回,,,1,,,,
45,2025-06-18,3.6702,3.6702,-0.16,限制大额申购,开放赎回,,,1,,,,
46,2025-06-17,3.6759,3.6759,-0.47,限制大额申购,开放赎回,,,1,,,,
47,2025-06-16,3.6932,3.6932,1.45,限制大额申购,开放赎回,,,1,,,,
48,2025-06-13,3.6405,3.6405,-1.29,限制大额申购,开放赎回,,,1,,,,
49,2025-06-12,3.6879,3.6879,0.14,限制大额申购,开放赎回,,,1,,,,
50,2025-06-11,3.6829,3.6829,-0.28,限制大额申购,开放赎回,,,1,,,,
51,2025-06-10,3.6934,3.6934,0.15,限制大额申购,开放赎回,,,1,,,,
52,2025-06-09,3.6880,3.6880,0.13,限制大额申购,开放赎回,,,1,,,,
53,2025-06-06,3.6832,3.6832,1.15,限制大额申购,开放赎回,,,1,,,,
54,2025-06-05,3.6414,3.6414,0.06,限制大额申购,开放赎回,,,1,,,,
55,2025-06-04,3.6391,3.6391,0.61,限制大额申购,开放赎回,,,1,,,,
56,2025-06-03,3.6172,3.6172,1.58,限制大额申购,开放赎回,,,1,,,,
