,FSRQ,DWJZ,LJJZ,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,NAVTYPE,SDATE,ACTUALSYI,DTYPE,FHSP
0,2025-08-20,5.8861,5.8861,1.09,限制大额申购,开放赎回,,,1,,,,
1,2025-08-19,5.8226,5.8226,-0.69,限制大额申购,开放赎回,,,1,,,,
2,2025-08-18,5.8630,5.8630,0.73,限制大额申购,开放赎回,,,1,,,,
3,2025-08-15,5.8204,5.8204,1.62,限制大额申购,开放赎回,,,1,,,,
4,2025-08-14,5.7278,5.7278,-0.42,限制大额申购,开放赎回,,,1,,,,
5,2025-08-13,5.7522,5.7522,1.02,限制大额申购,开放赎回,,,1,,,,
6,2025-08-12,5.6944,5.6944,-0.48,限制大额申购,开放赎回,,,1,,,,
7,2025-08-11,5.7216,5.7216,1.18,限制大额申购,开放赎回,,,1,,,,
8,2025-08-08,5.6551,5.6551,-1.47,限制大额申购,开放赎回,,,1,,,,
9,2025-08-07,5.7396,5.7396,0.21,限制大额申购,开放赎回,,,1,,,,
10,2025-08-06,5.7274,5.7274,1.26,限制大额申购,开放赎回,,,1,,,,
11,2025-08-05,5.6560,5.6560,-0.48,限制大额申购,开放赎回,,,1,,,,
12,2025-08-04,5.6831,5.6831,1.20,限制大额申购,开放赎回,,,1,,,,
13,2025-08-01,5.6157,5.6157,-0.40,限制大额申购,开放赎回,,,1,,,,
14,2025-07-31,5.6383,5.6383,1.37,限制大额申购,开放赎回,,,1,,,,
15,2025-07-30,5.5623,5.5623,-1.42,限制大额申购,开放赎回,,,1,,,,
16,2025-07-29,5.6422,5.6422,0.80,限制大额申购,开放赎回,,,1,,,,
17,2025-07-28,5.5973,5.5973,-0.77,限制大额申购,开放赎回,,,1,,,,
18,2025-07-25,5.6408,5.6408,0.48,限制大额申购,开放赎回,,,1,,,,
19,2025-07-24,5.6139,5.6139,1.81,限制大额申购,开放赎回,,,1,,,,
20,2025-07-23,5.5141,5.5141,1.47,限制大额申购,开放赎回,,,1,,,,
21,2025-07-22,5.4342,5.4342,-0.96,限制大额申购,开放赎回,,,1,,,,
22,2025-07-21,5.4866,5.4866,-0.18,限制大额申购,开放赎回,,,1,,,,
23,2025-07-18,5.4967,5.4967,1.86,限制大额申购,开放赎回,,,1,,,,
24,2025-07-17,5.3965,5.3965,0.84,限制大额申购,开放赎回,,,1,,,,
25,2025-07-16,5.3513,5.3513,0.05,限制大额申购,开放赎回,,,1,,,,
26,2025-07-15,5.3487,5.3487,4.45,限制大额申购,开放赎回,,,1,,,,
27,2025-07-14,5.1206,5.1206,0.64,限制大额申购,开放赎回,,,1,,,,
28,2025-07-11,5.0882,5.0882,1.56,限制大额申购,开放赎回,,,1,,,,
29,2025-07-10,5.0100,5.0100,0.02,限制大额申购,开放赎回,,,1,,,,
30,2025-07-09,5.0092,5.0092,-0.86,限制大额申购,开放赎回,,,1,,,,
31,2025-07-08,5.0527,5.0527,1.48,限制大额申购,开放赎回,,,1,,,,
32,2025-07-07,4.9790,4.9790,-0.72,限制大额申购,开放赎回,,,1,,,,
33,2025-07-04,5.0151,5.0151,-0.11,限制大额申购,开放赎回,,,1,,,,
34,2025-07-03,5.0205,5.0205,-0.10,限制大额申购,开放赎回,,,1,,,,
35,2025-07-02,5.0253,5.0253,-1.76,限制大额申购,开放赎回,,,1,,,,
36,2025-07-01,5.1154,5.1154,-0.03,暂停申购,暂停赎回,,,1,,,,
37,2025-06-30,5.1169,5.1169,0.21,限制大额申购,开放赎回,,,1,,,,
38,2025-06-27,5.1061,5.1061,0.54,限制大额申购,开放赎回,,,1,,,,
39,2025-06-26,5.0787,5.0787,-0.43,限制大额申购,开放赎回,,,1,,,,
40,2025-06-25,5.1006,5.1006,1.40,限制大额申购,开放赎回,,,1,,,,
41,2025-06-24,5.0302,5.0302,3.03,限制大额申购,开放赎回,,,1,,,,
42,2025-06-23,4.8823,4.8823,0.66,限制大额申购,开放赎回,,,1,,,,
43,2025-06-20,4.8505,4.8505,-0.45,限制大额申购,开放赎回,,,1,,,,
44,2025-06-19,4.8724,4.8724,-1.90,限制大额申购,开放赎回,,,1,,,,
45,2025-06-18,4.9666,4.9666,-0.39,限制大额申购,开放赎回,,,1,,,,
46,2025-06-17,4.9862,4.9862,-0.98,限制大额申购,开放赎回,,,1,,,,
47,2025-06-16,5.0353,5.0353,0.21,限制大额申购,开放赎回,,,1,,,,
48,2025-06-13,5.0245,5.0245,-1.96,限制大额申购,开放赎回,,,1,,,,
49,2025-06-12,5.1252,5.1252,-0.31,限制大额申购,开放赎回,,,1,,,,
50,2025-06-11,5.1412,5.1412,0.11,限制大额申购,开放赎回,,,1,,,,
51,2025-06-10,5.1353,5.1353,-0.80,限制大额申购,开放赎回,,,1,,,,
52,2025-06-09,5.1767,5.1767,2.94,限制大额申购,开放赎回,,,1,,,,
53,2025-06-06,5.0288,5.0288,-0.51,限制大额申购,开放赎回,,,1,,,,
54,2025-06-05,5.0545,5.0545,2.12,限制大额申购,开放赎回,,,1,,,,
55,2025-06-04,4.9496,4.9496,0.96,限制大额申购,开放赎回,,,1,,,,
56,2025-06-03,4.9027,4.9027,0.05,限制大额申购,开放赎回,,,1,,,,
57,2025-05-30,4.9001,4.9001,-2.24,限制大额申购,开放赎回,,,1,,,,
58,2025-05-29,5.0125,5.0125,2.10,限制大额申购,开放赎回,,,1,,,,
59,2025-05-28,4.9092,4.9092,-1.40,限制大额申购,开放赎回,,,1,,,,
60,2025-05-27,4.9789,4.9789,-0.44,限制大额申购,开放赎回,,,1,,,,
61,2025-05-26,5.0011,5.0011,-0.59,限制大额申购,开放赎回,,,1,,,,
62,2025-05-23,5.0310,5.0310,-0.99,限制大额申购,开放赎回,,,1,,,,
63,2025-05-22,5.0815,5.0815,-0.86,限制大额申购,开放赎回,,,1,,,,
64,2025-05-21,5.1256,5.1256,-0.02,限制大额申购,开放赎回,,,1,,,,
65,2025-05-20,5.1264,5.1264,0.19,限制大额申购,开放赎回,,,1,,,,
66,2025-05-19,5.1167,5.1167,-0.99,限制大额申购,开放赎回,,,1,,,,
67,2025-05-16,5.1678,5.1678,0.31,限制大额申购,开放赎回,,,1,,,,
68,2025-05-15,5.1516,5.1516,-2.19,限制大额申购,开放赎回,,,1,,,,
69,2025-05-14,5.2671,5.2671,0.32,限制大额申购,开放赎回,,,1,,,,
70,2025-05-13,5.2501,5.2501,-0.73,限制大额申购,开放赎回,,,1,,,,
71,2025-05-12,5.2886,5.2886,3.58,限制大额申购,开放赎回,,,1,,,,
72,2025-05-09,5.1058,5.1058,-1.29,限制大额申购,开放赎回,,,1,,,,
73,2025-05-08,5.1727,5.1727,1.63,限制大额申购,开放赎回,,,1,,,,
74,2025-05-07,5.0895,5.0895,-1.02,限制大额申购,开放赎回,,,1,,,,
75,2025-05-06,5.1417,5.1417,2.79,限制大额申购,开放赎回,,,1,,,,
76,2025-04-30,5.0019,5.0019,2.48,限制大额申购,开放赎回,,,1,,,,
77,2025-04-29,4.8807,4.8807,0.04,限制大额申购,开放赎回,,,1,,,,
78,2025-04-28,4.8788,4.8788,-0.42,限制大额申购,开放赎回,,,1,,,,
79,2025-04-25,4.8996,4.8996,0.70,限制大额申购,开放赎回,,,1,,,,
80,2025-04-24,4.8653,4.8653,-0.57,限制大额申购,开放赎回,,,1,,,,
81,2025-04-23,4.8933,4.8933,1.36,限制大额申购,开放赎回,,,1,,,,
82,2025-04-22,4.8278,4.8278,-0.53,限制大额申购,开放赎回,,,1,,,,
83,2025-04-21,4.8534,4.8534,1.16,暂停申购,暂停赎回,,,1,,,,
84,2025-04-18,4.7978,4.7978,-0.64,暂停申购,暂停赎回,,,1,,,,
85,2025-04-17,4.8287,4.8287,1.01,限制大额申购,开放赎回,,,1,,,,
86,2025-04-16,4.7804,4.7804,-2.42,限制大额申购,开放赎回,,,1,,,,
87,2025-04-15,4.8992,4.8992,-0.24,限制大额申购,开放赎回,,,1,,,,
88,2025-04-14,4.9108,4.9108,1.79,限制大额申购,开放赎回,,,1,,,,
89,2025-04-11,4.8245,4.8245,1.24,限制大额申购,开放赎回,,,1,,,,
90,2025-04-10,4.7653,4.7653,2.41,限制大额申购,开放赎回,,,1,,,,
91,2025-04-09,4.6532,4.6532,3.18,限制大额申购,开放赎回,,,1,,,,
92,2025-04-08,4.5100,4.5100,1.32,限制大额申购,开放赎回,,,1,,,,
93,2025-04-07,4.4513,4.4513,-14.48,限制大额申购,开放赎回,,,1,,,,
94,2025-04-03,5.2052,5.2052,-1.27,限制大额申购,开放赎回,,,1,,,,
95,2025-04-02,5.2719,5.2719,0.55,限制大额申购,开放赎回,,,1,,,,
96,2025-04-01,5.2430,5.2430,-1.26,限制大额申购,开放赎回,,,1,,,,
97,2025-03-31,5.3098,5.3098,-0.24,限制大额申购,开放赎回,,,1,,,,
98,2025-03-28,5.3226,5.3226,-0.93,限制大额申购,开放赎回,,,1,,,,
99,2025-03-27,5.3726,5.3726,-0.55,限制大额申购,开放赎回,,,1,,,,
100,2025-03-26,5.4021,5.4021,0.79,限制大额申购,开放赎回,,,1,,,,
101,2025-03-25,5.3597,5.3597,-1.91,限制大额申购,开放赎回,,,1,,,,
102,2025-03-24,5.4639,5.4639,0.03,限制大额申购,开放赎回,,,1,,,,
103,2025-03-21,5.4622,5.4622,-3.64,限制大额申购,开放赎回,,,1,,,,
104,2025-03-20,5.6685,5.6685,-1.71,限制大额申购,开放赎回,,,1,,,,
105,2025-03-19,5.7671,5.7671,-1.54,限制大额申购,开放赎回,,,1,,,,
106,2025-03-18,5.8572,5.8572,1.35,限制大额申购,开放赎回,,,1,,,,
107,2025-03-17,5.7792,5.7792,-0.02,限制大额申购,开放赎回,,,1,,,,
108,2025-03-14,5.7803,5.7803,1.41,限制大额申购,开放赎回,,,1,,,,
109,2025-03-13,5.6999,5.6999,-2.03,限制大额申购,开放赎回,,,1,,,,
110,2025-03-12,5.8182,5.8182,-1.23,限制大额申购,开放赎回,,,1,,,,
111,2025-03-11,5.8907,5.8907,0.22,限制大额申购,开放赎回,,,1,,,,
112,2025-03-10,5.8777,5.8777,-3.80,限制大额申购,开放赎回,,,1,,,,
113,2025-03-07,6.1096,6.1096,0.22,限制大额申购,开放赎回,,,1,,,,
114,2025-03-06,6.0962,6.0962,8.01,限制大额申购,开放赎回,,,1,,,,
115,2025-03-05,5.6439,5.6439,2.24,限制大额申购,开放赎回,,,1,,,,
116,2025-03-04,5.5205,5.5205,1.25,限制大额申购,开放赎回,,,1,,,,
117,2025-03-03,5.4522,5.4522,1.29,限制大额申购,开放赎回,,,1,,,,
118,2025-02-28,5.3828,5.3828,-5.27,限制大额申购,开放赎回,,,1,,,,
119,2025-02-27,5.6825,5.6825,-6.02,限制大额申购,开放赎回,,,1,,,,
120,2025-02-26,6.0467,6.0467,0.93,限制大额申购,开放赎回,,,1,,,,
121,2025-02-25,5.9907,5.9907,-2.46,限制大额申购,开放赎回,,,1,,,,
122,2025-02-24,6.1418,6.1418,-2.81,限制大额申购,开放赎回,,,1,,,,
123,2025-02-21,6.3192,6.3192,4.59,限制大额申购,开放赎回,,,1,,,,
124,2025-02-20,6.0416,6.0416,-2.07,限制大额申购,开放赎回,,,1,,,,
125,2025-02-19,6.1692,6.1692,1.98,限制大额申购,开放赎回,,,1,,,,
126,2025-02-18,6.0495,6.0495,-0.66,限制大额申购,开放赎回,,,1,,,,
127,2025-02-17,6.0896,6.0896,1.07,限制大额申购,开放赎回,,,1,,,,
128,2025-02-14,6.0254,6.0254,6.88,限制大额申购,开放赎回,,,1,,,,
129,2025-02-13,5.6374,5.6374,-2.01,限制大额申购,开放赎回,,,1,,,,
130,2025-02-12,5.7530,5.7530,2.87,限制大额申购,开放赎回,,,1,,,,
131,2025-02-11,5.5923,5.5923,-2.06,限制大额申购,开放赎回,,,1,,,,
132,2025-02-10,5.7098,5.7098,2.87,限制大额申购,开放赎回,,,1,,,,
133,2025-02-07,5.5504,5.5504,0.29,限制大额申购,开放赎回,,,1,,,,
134,2025-02-06,5.5341,5.5341,3.81,限制大额申购,开放赎回,,,1,,,,
135,2025-02-05,5.3311,5.3311,8.15,限制大额申购,开放赎回,,,1,,,,
136,2025-01-27,4.9294,4.9294,1.26,限制大额申购,开放赎回,,,1,,,,
137,2025-01-24,4.8681,4.8681,5.99,限制大额申购,开放赎回,,,1,,,,
138,2025-01-23,4.5929,4.5929,0.05,限制大额申购,开放赎回,,,1,,,,
139,2025-01-22,4.5907,4.5907,-0.56,限制大额申购,开放赎回,,,1,,,,
140,2025-01-21,4.6165,4.6165,2.62,限制大额申购,开放赎回,,,1,,,,
141,2025-01-20,4.4987,4.4987,-0.02,限制大额申购,开放赎回,,,1,,,,
142,2025-01-17,4.4997,4.4997,0.77,限制大额申购,开放赎回,,,1,,,,
143,2025-01-16,4.4655,4.4655,0.37,限制大额申购,开放赎回,,,1,,,,
144,2025-01-15,4.4489,4.4489,-0.73,限制大额申购,开放赎回,,,1,,,,
145,2025-01-14,4.4816,4.4816,5.11,限制大额申购,开放赎回,,,1,,,,
146,2025-01-13,4.2638,4.2638,-0.86,限制大额申购,开放赎回,,,1,,,,
147,2025-01-10,4.3006,4.3006,-2.12,限制大额申购,开放赎回,,,1,,,,
148,2025-01-09,4.3939,4.3939,2.82,限制大额申购,开放赎回,,,1,,,,
149,2025-01-08,4.2734,4.2734,-0.57,限制大额申购,开放赎回,,,1,,,,
150,2025-01-07,4.2979,4.2979,-0.26,限制大额申购,开放赎回,,,1,,,,
151,2025-01-06,4.3091,4.3091,-1.29,限制大额申购,开放赎回,,,1,,,,
152,2025-01-03,4.3653,4.3653,-0.95,限制大额申购,开放赎回,,,1,,,,
153,2025-01-02,4.4072,4.4072,-3.45,限制大额申购,开放赎回,,,1,,,,
154,2024-12-31,4.5648,4.5648,-2.79,限制大额申购,开放赎回,,,1,,,,
155,2024-12-30,4.6959,4.6959,-0.45,限制大额申购,开放赎回,,,1,,,,
156,2024-12-27,4.7170,4.7170,2.11,限制大额申购,开放赎回,,,1,,,,
157,2024-12-26,4.6196,4.6196,1.16,暂停申购,暂停赎回,,,1,,,,
158,2024-12-25,4.5666,4.5666,-0.55,暂停申购,暂停赎回,,,1,,,,
159,2024-12-24,4.5920,4.5920,-0.33,限制大额申购,开放赎回,,,1,,,,
160,2024-12-23,4.6071,4.6071,-1.83,限制大额申购,开放赎回,,,1,,,,
161,2024-12-20,4.6928,4.6928,1.21,限制大额申购,开放赎回,,,1,,,,
162,2024-12-19,4.6368,4.6368,0.13,限制大额申购,开放赎回,,,1,,,,
