,FSRQ,DWJZ,LJJZ,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,NAVTYPE,SDATE,ACTUALSYI,DTYPE,FHSP
0,2025-08-19,2.9362,2.9362,-1.24,限制大额申购,开放赎回,,,1,,,,
1,2025-08-18,2.9732,2.9732,-0.07,限制大额申购,开放赎回,,,1,,,,
2,2025-08-15,2.9752,2.9752,-0.44,限制大额申购,开放赎回,,,1,,,,
3,2025-08-14,2.9884,2.9884,-0.04,限制大额申购,开放赎回,,,1,,,,
4,2025-08-13,2.9897,2.9897,-0.10,限制大额申购,开放赎回,,,1,,,,
5,2025-08-12,2.9926,2.9926,1.22,限制大额申购,开放赎回,,,1,,,,
6,2025-08-11,2.9564,2.9564,-0.27,限制大额申购,开放赎回,,,1,,,,
7,2025-08-08,2.9643,2.9643,1.04,限制大额申购,开放赎回,,,1,,,,
8,2025-08-07,2.9338,2.9338,0.26,限制大额申购,开放赎回,,,1,,,,
9,2025-08-06,2.9261,2.9261,1.29,限制大额申购,开放赎回,,,1,,,,
10,2025-08-05,2.8887,2.8887,-0.68,限制大额申购,开放赎回,,,1,,,,
11,2025-08-04,2.9086,2.9086,1.59,限制大额申购,开放赎回,,,1,,,,
12,2025-08-01,2.8630,2.8630,-1.78,限制大额申购,开放赎回,,,1,,,,
13,2025-07-31,2.9148,2.9148,-0.35,限制大额申购,开放赎回,,,1,,,,
14,2025-07-30,2.9250,2.9250,0.09,限制大额申购,开放赎回,,,1,,,,
15,2025-07-29,2.9224,2.9224,-0.12,限制大额申购,开放赎回,,,1,,,,
16,2025-07-28,2.9258,2.9258,0.39,限制大额申购,开放赎回,,,1,,,,
17,2025-07-25,2.9144,2.9144,0.23,限制大额申购,开放赎回,,,1,,,,
18,2025-07-24,2.9078,2.9078,0.20,限制大额申购,开放赎回,,,1,,,,
19,2025-07-23,2.9020,2.9020,0.31,限制大额申购,开放赎回,,,1,,,,
20,2025-07-22,2.8931,2.8931,-0.61,限制大额申购,开放赎回,,,1,,,,
21,2025-07-21,2.9108,2.9108,0.49,限制大额申购,开放赎回,,,1,,,,
22,2025-07-18,2.8965,2.8965,-0.02,限制大额申购,开放赎回,,,1,,,,
23,2025-07-17,2.8972,2.8972,0.58,限制大额申购,开放赎回,,,1,,,,
24,2025-07-16,2.8805,2.8805,0.10,限制大额申购,开放赎回,,,1,,,,
25,2025-07-15,2.8776,2.8776,0.14,限制大额申购,开放赎回,,,1,,,,
26,2025-07-14,2.8735,2.8735,0.31,限制大额申购,开放赎回,,,1,,,,
27,2025-07-11,2.8645,2.8645,-0.22,限制大额申购,开放赎回,,,1,,,,
28,2025-07-10,2.8708,2.8708,-0.18,限制大额申购,开放赎回,,,1,,,,
29,2025-07-09,2.8761,2.8761,0.69,限制大额申购,开放赎回,,,1,,,,
30,2025-07-08,2.8565,2.8565,0.06,限制大额申购,开放赎回,,,1,,,,
