,FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
0,2025-08-20,1.7199,1.9949,,,1,0.73,开放申购,开放赎回,,,,
1,2025-08-19,1.7075,1.9825,,,1,0.05,开放申购,开放赎回,,,,
2,2025-08-18,1.7067,1.9817,,,1,0.26,开放申购,开放赎回,,,,
3,2025-08-15,1.7022,1.9772,,,1,-0.28,开放申购,开放赎回,,,,
4,2025-08-14,1.7070,1.9820,,,1,-0.02,开放申购,开放赎回,,,,
5,2025-08-13,1.7074,1.9824,,,1,-0.49,开放申购,开放赎回,,,,
6,2025-08-12,1.7158,1.9908,,,1,0.35,开放申购,开放赎回,,,,
7,2025-08-11,1.7098,1.9848,,,1,-0.63,开放申购,开放赎回,,,,
8,2025-08-08,1.7206,1.9956,,,1,0.14,开放申购,开放赎回,,,,
9,2025-08-07,1.7182,1.9932,,,1,0.30,限制大额申购,开放赎回,0.005,0,,每份派现金0.0050元
10,2025-08-06,1.7181,1.9881,,,1,0.09,限制大额申购,开放赎回,,,,
11,2025-08-05,1.7165,1.9865,,,1,1.17,限制大额申购,开放赎回,,,,
12,2025-08-04,1.6967,1.9667,,,1,0.56,开放申购,开放赎回,,,,
13,2025-08-01,1.6873,1.9573,,,1,-0.03,开放申购,开放赎回,,,,
14,2025-07-31,1.6878,1.9578,,,1,-1.13,开放申购,开放赎回,,,,
15,2025-07-30,1.7071,1.9771,,,1,0.41,开放申购,开放赎回,,,,
16,2025-07-29,1.7002,1.9702,,,1,-0.54,开放申购,开放赎回,,,,
17,2025-07-28,1.7095,1.9795,,,1,-0.33,开放申购,开放赎回,,,,
18,2025-07-25,1.7151,1.9851,,,1,-0.64,开放申购,开放赎回,,,,
19,2025-07-24,1.7262,1.9962,,,1,-0.73,开放申购,开放赎回,,,,
20,2025-07-23,1.7389,2.0089,,,1,0.13,开放申购,开放赎回,,,,
21,2025-07-22,1.7367,2.0067,,,1,0.16,开放申购,开放赎回,,,,
22,2025-07-21,1.7339,2.0039,,,1,-0.01,开放申购,开放赎回,,,,
23,2025-07-18,1.7340,2.0040,,,1,0.44,开放申购,开放赎回,,,,
24,2025-07-17,1.7264,1.9964,,,1,-0.17,开放申购,开放赎回,,,,
25,2025-07-16,1.7293,1.9993,,,1,-0.32,开放申购,开放赎回,,,,
26,2025-07-15,1.7349,2.0049,,,1,-0.83,开放申购,开放赎回,,,,
27,2025-07-14,1.7494,2.0194,,,1,0.62,开放申购,开放赎回,,,,
28,2025-07-11,1.7387,2.0087,,,1,-0.82,开放申购,开放赎回,,,,
29,2025-07-10,1.7531,2.0231,,,1,0.47,开放申购,开放赎回,,,,
30,2025-07-09,1.7449,2.0149,,,1,0.49,开放申购,开放赎回,,,,
31,2025-07-08,1.7364,2.0064,,,1,-0.21,开放申购,开放赎回,,,,
32,2025-07-07,1.7400,2.0100,,,1,0.47,开放申购,开放赎回,,,,
33,2025-07-04,1.7318,2.0018,,,1,0.88,开放申购,开放赎回,,,,
34,2025-07-03,1.7167,1.9867,,,1,0.02,限制大额申购,开放赎回,0.005,0,,每份派现金0.0050元
35,2025-07-02,1.7214,1.9864,,,1,0.19,限制大额申购,开放赎回,,,,
36,2025-07-01,1.7181,1.9831,,,1,0.91,开放申购,开放赎回,,,,
37,2025-06-30,1.7026,1.9676,,,1,-0.16,开放申购,开放赎回,,,,
38,2025-06-27,1.7054,1.9704,,,1,-1.41,开放申购,开放赎回,,,,
39,2025-06-26,1.7298,1.9948,,,1,0.41,开放申购,开放赎回,,,,
40,2025-06-25,1.7227,1.9877,,,1,0.70,开放申购,开放赎回,,,,
41,2025-06-24,1.7108,1.9758,,,1,0.21,开放申购,开放赎回,,,,
42,2025-06-23,1.7073,1.9723,,,1,0.54,开放申购,开放赎回,,,,
43,2025-06-20,1.6982,1.9632,,,1,0.45,开放申购,开放赎回,,,,
44,2025-06-19,1.6906,1.9556,,,1,-0.23,开放申购,开放赎回,,,,
45,2025-06-18,1.6945,1.9595,,,1,0.52,开放申购,开放赎回,,,,
46,2025-06-17,1.6857,1.9507,,,1,-0.20,开放申购,开放赎回,,,,
47,2025-06-16,1.6891,1.9541,,,1,0.49,开放申购,开放赎回,,,,
48,2025-06-13,1.6809,1.9459,,,1,-0.61,开放申购,开放赎回,,,,
49,2025-06-12,1.6912,1.9562,,,1,0.32,开放申购,开放赎回,,,,
50,2025-06-11,1.6858,1.9508,,,1,0.17,开放申购,开放赎回,,,,
51,2025-06-10,1.6830,1.9480,,,1,0.14,开放申购,开放赎回,,,,
52,2025-06-09,1.6807,1.9457,,,1,0.04,开放申购,开放赎回,,,,
53,2025-06-06,1.6800,1.9450,,,1,0.20,开放申购,开放赎回,,,,
54,2025-06-05,1.6766,1.9416,,,1,-0.69,限制大额申购,开放赎回,0.005,0,,每份派现金0.0050元
55,2025-06-04,1.6932,1.9532,,,1,0.42,限制大额申购,开放赎回,,,,
56,2025-06-03,1.6862,1.9462,,,1,0.94,开放申购,开放赎回,,,,
57,2025-05-30,1.6705,1.9305,,,1,0.31,开放申购,开放赎回,,,,
58,2025-05-29,1.6654,1.9254,,,1,-0.10,开放申购,开放赎回,,,,
59,2025-05-28,1.6671,1.9271,,,1,0.45,开放申购,开放赎回,,,,
60,2025-05-27,1.6597,1.9197,,,1,0.18,开放申购,开放赎回,,,,
61,2025-05-26,1.6568,1.9168,,,1,-0.35,开放申购,开放赎回,,,,
62,2025-05-23,1.6626,1.9226,,,1,-0.71,开放申购,开放赎回,,,,
63,2025-05-22,1.6745,1.9345,,,1,0.43,开放申购,开放赎回,,,,
64,2025-05-21,1.6673,1.9273,,,1,0.57,开放申购,开放赎回,,,,
65,2025-05-20,1.6579,1.9179,,,1,0.33,开放申购,开放赎回,,,,
66,2025-05-19,1.6525,1.9125,,,1,0.18,开放申购,开放赎回,,,,
67,2025-05-16,1.6496,1.9096,,,1,-0.58,开放申购,开放赎回,,,,
68,2025-05-15,1.6592,1.9192,,,1,-0.37,开放申购,开放赎回,,,,
69,2025-05-14,1.6654,1.9254,,,1,0.54,开放申购,开放赎回,,,,
70,2025-05-13,1.6565,1.9165,,,1,0.95,开放申购,开放赎回,,,,
71,2025-05-12,1.6409,1.9009,,,1,0.04,限制大额申购,开放赎回,0.01,0,,每份派现金0.0100元
72,2025-05-09,1.6503,1.9003,,,1,0.71,限制大额申购,开放赎回,,,,
73,2025-05-08,1.6386,1.8886,,,1,0.47,限制大额申购,开放赎回,,,,
74,2025-05-07,1.6309,1.8809,,,1,0.80,开放申购,开放赎回,,,,
75,2025-05-06,1.6179,1.8679,,,1,0.12,开放申购,开放赎回,,,,
76,2025-04-30,1.6160,1.8660,,,1,-1.55,开放申购,开放赎回,,,,
77,2025-04-29,1.6415,1.8915,,,1,-0.26,开放申购,开放赎回,,,,
78,2025-04-28,1.6458,1.8958,,,1,0.45,开放申购,开放赎回,,,,
79,2025-04-25,1.6385,1.8885,,,1,-0.11,开放申购,开放赎回,,,,
80,2025-04-24,1.6403,1.8903,,,1,0.92,开放申购,开放赎回,,,,
81,2025-04-23,1.6254,1.8754,,,1,-0.46,开放申购,开放赎回,,,,
82,2025-04-22,1.6329,1.8829,,,1,0.52,开放申购,开放赎回,,,,
83,2025-04-21,1.6245,1.8745,,,1,-0.61,开放申购,开放赎回,,,,
84,2025-04-18,1.6344,1.8844,,,1,0.26,开放申购,开放赎回,,,,
85,2025-04-17,1.6301,1.8801,,,1,0.09,开放申购,开放赎回,,,,
86,2025-04-16,1.6286,1.8786,,,1,0.80,开放申购,开放赎回,,,,
87,2025-04-15,1.6157,1.8657,,,1,1.03,开放申购,开放赎回,,,,
88,2025-04-14,1.5993,1.8493,,,1,0.72,开放申购,开放赎回,,,,
89,2025-04-11,1.5879,1.8379,,,1,-0.44,开放申购,开放赎回,,,,
90,2025-04-10,1.5949,1.8449,,,1,0.51,限制大额申购,开放赎回,0.01,0,,每份派现金0.0100元
91,2025-04-09,1.5967,1.8367,,,1,-0.23,限制大额申购,开放赎回,,,,
92,2025-04-08,1.6004,1.8404,,,1,2.01,限制大额申购,开放赎回,,,,
93,2025-04-07,1.5689,1.8089,,,1,-4.93,开放申购,开放赎回,,,,
94,2025-04-03,1.6502,1.8902,,,1,0.21,开放申购,开放赎回,,,,
95,2025-04-02,1.6467,1.8867,,,1,0.68,开放申购,开放赎回,,,,
96,2025-04-01,1.6355,1.8755,,,1,0.22,开放申购,开放赎回,,,,
97,2025-03-31,1.6319,1.8719,,,1,0.06,开放申购,开放赎回,,,,
98,2025-03-28,1.6310,1.8710,,,1,-0.28,开放申购,开放赎回,,,,
99,2025-03-27,1.6356,1.8756,,,1,0.20,开放申购,开放赎回,,,,
100,2025-03-26,1.6324,1.8724,,,1,-0.29,开放申购,开放赎回,,,,
101,2025-03-25,1.6371,1.8771,,,1,0.63,开放申购,开放赎回,,,,
102,2025-03-24,1.6269,1.8669,,,1,0.61,开放申购,开放赎回,,,,
103,2025-03-21,1.6170,1.8570,,,1,-0.30,开放申购,开放赎回,,,,
104,2025-03-20,1.6218,1.8618,,,1,-0.42,开放申购,开放赎回,,,,
105,2025-03-19,1.6287,1.8687,,,1,0.61,开放申购,开放赎回,,,,
106,2025-03-18,1.6189,1.8589,,,1,-0.09,开放申购,开放赎回,,,,
107,2025-03-17,1.6204,1.8604,,,1,0.29,开放申购,开放赎回,,,,
108,2025-03-14,1.6157,1.8557,,,1,0.79,开放申购,开放赎回,,,,
109,2025-03-13,1.6030,1.8430,,,1,0.48,开放申购,开放赎回,,,,
110,2025-03-12,1.5953,1.8353,,,1,-0.14,开放申购,开放赎回,,,,
